"HUC8","Site","SN18","avgT","sdT","MAXT","MEANT","RNGT","pctex21"
"UPI","12","20351163",14.92754004004,1.57895903214278,20.6333333333333,17.7402777777778,5.27777777777777,0
"YEL","41","3188",17.6083395895896,2.28004201780373,25.805,21.8590509259259,9.06388888888889,9.45945945945946
"YEL","129","3189",15.5267774024024,1.60492438634075,21.0911111111111,18.5566666666667,4.96,0.112612612612613
"YEL","77","3191",17.797088963964,2.32342474918846,23.7727777777778,21.5436805555556,6.86277777777779,8.33333333333333
"YEL","29","3192",18.9616485235235,2.67744671814758,24.7377777777778,23.3497453703704,4.665,24.6621621621622
"UPI","85","3193",13.9197491241241,1.71218186058134,20.2338888888889,17.6680787037037,6.86888888888889,0
"YEL","201","3194",15.1415077577578,1.78105829958564,21.6638888888889,18.2513425925926,6.57277777777778,0.45045045045045
"YEL","193","3195",16.4280086336336,2.32380833506328,23.1,19.7394212962963,6.48111111111111,2.81531531531532
"YEL","125","3196",19.6995908408408,2.44555301254939,25.9022222222222,23.9355787037037,3.43166666666666,30.6306306306306
"YEL","20","3197",17.6584553303303,2.34445270117714,23.7727777777778,20.9804166666667,6.32277777777778,7.77027027027027
"UPI","109","3198",15.5147766516517,2.09942794302654,21.5688888888889,18.9732638888889,6.38166666666667,0.45045045045045
"UPI","135","3199",15.859715965966,1.40355921084633,20.3288888888889,19.2979166666667,4.48222222222223,0
"UPI","128","3200",16.0193712462462,1.60925215222828,21.1872222222222,18.5765277777778,7.07944444444444,0.112612612612613
"YEL","4","3201",14.9207094594595,4.13438572881878,32.6,21.9464583333333,19.5805555555556,9.12162162162162
"UPI","118","3202",17.9056412662663,2.36773499127652,23.5811111111111,21.9840509259259,4.09277777777778,9.23423423423423
"UPI","13","3203",15.7792924174174,1.93001953105148,21.2822222222222,18.66375,5.83777777777778,0.225225225225225
"UPI","34","3205",12.900777027027,1.40155822478327,20.615,16.6888657407407,7.82777777777778,0
"UPI","75","3206",15.0499286786787,1.34543538016064,19.8527777777778,18.156087962963,4.48611111111111,0
"UPI","1","3207",13.3717967967968,2.10005779988147,20.71,17.421875,8.69722222222221,0
"YEL","17","3208",17.1538100600601,3.4542994759109,28.3572222222222,23.1765046296296,14.5872222222222,13.963963963964
"UPI","14b","3209",13.6783602352352,1.98476858324735,20.9961111111111,18.140162037037,8.595,0
