"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
42,"UPI","170",1,0,159,0,0,0,0,0,0,0,0,0,NA,0,0,0,159,159,10,0,10,10,10,NA,0,0,10,0,0,0,50,"Fair"
44,"UPI","32b",4,0,64,0,2,1,2,0,0,0,0,0,NA,3.125,0,0,64,64,10,0,10,5,5,NA,0,0,0,0,0,0,30,"Poor"
45,"UPI","57b",7,0,37,0,4,5,1,0,0,0,0,0,NA,29.7297297297297,0,0,37,26.4285714285714,5,0,0,10,0,NA,0,0,0,0,0,5,20,"Poor"
46,"UPI","201_NCT",3,50,62,1,1,1,0,50,80.6451612903226,0,0,50,0,0,80.6451612903226,25.5102040816327,12,6.12244897959184,10,0,10,10,10,0,0,5,10,10,0,10,75,"Good"
47,"UPI","202_CWT",3,46,91,1,1,0,2,46,50.5494505494505,0,0,46,0,48.3516483516484,50.5494505494505,25.5555555555556,45,25,10,0,10,5,10,0,0,5,0,5,0,5,50,"Fair"
48,"YEL","1",8,24,279,1,3,4,4,24,8.60215053763441,0,0,24,0,58.0645161290323,8.60215053763441,8,255,85,5,0,0,0,5,0,0,0,0,0,0,0,10,"Poor"
49,"YEL","4",2,75,76,1,0,0,1,75,98.6842105263158,0,0,75,0,0,98.6842105263158,31.25,1,0.416666666666667,10,0,10,10,10,0,0,10,10,10,0,10,80,"Good"
50,"YEL","17",8,1,59,1,4,3,2,1,1.69491525423729,0,0,1,0,52.5423728813559,1.69491525423729,0.625,58,36.25,5,0,5,5,0,0,0,0,0,0,0,5,20,"Poor"
51,"YEL","20",6,72,173,1,2,3,2,72,41.6184971098266,0,0,72,0,0,41.6184971098266,24,101,33.6666666666667,5,0,5,5,5,0,0,0,10,5,0,5,40,"Fair"
53,"YEL","29",7,9,137,1,2,2,3,2,1.45985401459854,0,0,2,0,23.3576642335766,6.56934306569343,2,135,135,5,0,5,0,5,0,0,0,0,0,0,0,15,"Poor"
55,"YEL","36",1,0,36,0,0,0,0,0,0,0,0,0,NA,0,0,0,36,33.3333333333333,10,0,10,10,10,NA,0,0,10,0,0,5,55,"Fair"
57,"YEL","40",5,87,226,2,1,1,3,87,38.4955752212389,0,0,87,0,57.0796460176991,38.4955752212389,29,139,46.3333333333333,5,5,10,0,10,0,0,0,0,5,0,5,40,"Fair"
58,"YEL","41",12,5,318,0,4,6,4,0,0,0,0,0,NA,15.0943396226415,1.57232704402516,0,318,106,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
59,"YEL","52",6,1,26,1,3,4,0,1,3.84615384615385,0,0,1,0,0,3.84615384615385,1,25,25,5,0,0,10,5,0,0,0,10,0,0,5,35,"Fair"
60,"YEL","56",9,17,161,1,3,5,4,17,10.5590062111801,0,0,17,0,7.45341614906832,10.5590062111801,5.66666666666667,144,48,0,0,0,0,5,0,0,0,0,0,0,5,10,"Poor"
61,"YEL","57",10,1,149,0,4,6,2,0,0,0,0,0,NA,16.1073825503356,0.671140939597315,0,149,149,0,0,0,5,0,NA,0,0,0,0,0,0,5,"Very Poor"
62,"YEL","65",9,16,84,1,4,6,3,16,19.047619047619,0,0,16,0,10.7142857142857,19.047619047619,11.1111111111111,68,47.2222222222222,0,0,0,0,0,0,0,0,0,0,0,5,5,"Very Poor"
63,"YEL","73",13,3,155,1,3,6,4,2,1.29032258064516,0,0,2,0,25.1612903225806,1.93548387096774,0.833333333333333,153,63.75,0,0,0,0,5,0,0,0,0,0,0,0,5,"Very Poor"
64,"YEL","77",12,4,279,1,5,8,4,4,1.4336917562724,0,0,4,0,17.2043010752688,1.4336917562724,3.57142857142857,275,245.535714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
66,"YEL","82",2,56,108,2,0,0,1,108,100,52,48.1481481481481,56,0,0,51.8518518518518,67.5,0,0,10,5,10,10,10,0,10,10,10,5,5,10,95,"Good"
67,"YEL","101",9,0,311,0,4,4,3,0,0,0,0,0,NA,2.2508038585209,0,0,311,282.727272727273,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
68,"YEL","103",4,43,64,3,1,1,0,43,67.1875,37,57.8125,43,86.046511627907,0,67.1875,20.6730769230769,21,10.0961538461538,10,5,10,10,10,5,10,5,10,5,0,10,90,"Good"
69,"YEL","105",2,0,30,0,1,1,0,0,0,0,0,0,NA,0,0,0,30,30,10,0,10,10,10,NA,0,0,10,0,0,5,55,"Fair"
70,"YEL","113",5,0,69,0,3,4,1,0,0,0,0,0,NA,0,0,0,69,69,5,0,0,10,5,NA,0,0,10,0,0,0,30,"Poor"
