OBJECTID,HUC8,Site,POINT_X,POINT_Y,HAiFLS_alt,HAiFLS_alt2,HAiFLS_bmp1,HAiFLS_bmp2,HAiFLS_ag1,HAiFLS_ag2,HAiFLS_dev1,HAiFLS_dev2,HAiFLS_for1,HAiFLS_for2,HAiFLS_pas1,HAiFLS_pas2
46,YEL,169,-91.535676391999999,43.112140154999999,,97.7380600,,2.2619388,,20.8233967,,0.3425077,,1.2734195,,76.5721588
47,YEL,173,-91.653223201000003,43.168879283999999,,91.1076202,,8.8923817,,67.2319260,,3.9687452,,5.4718719,,19.9069481
48,YEL,177,-91.513113696000005,43.127777961000000,,94.5508347,,3.5575137,,55.1665878,,15.9140234,,2.9596531,,23.4702282
49,YEL,189,-91.694064992999998,43.141130521000001,,97.5201416,,2.4798613,,81.4621582,,7.2724271,,2.1779046,,8.7855511
50,YEL,190,-91.370858186999996,43.216260538000000,,50.2751656,,49.7248344,,14.4992495,,5.9871411,,48.5575371,,29.7887764
51,YEL,21,-91.632357515999999,43.176515211000002,30.7772827,,68.8876801,,23.0188427,,0.6237720,,67.9425278,,7.1346674,
52,YEL,24,-91.375970891999998,43.075673651000002,87.0407562,,10.8948669,,59.9961166,,7.3256741,,9.9703712,,19.7189598,
53,YEL,28,-91.283861052000006,43.042714070000002,82.1075363,,17.8924637,,61.4368019,,3.4711418,,14.0129747,,17.1995907,
54,YEL,37,-91.627774063999993,43.124003749000003,97.5562057,,2.4437981,,36.4289551,,1.2841163,,0.2349563,,59.8431282,
55,YEL,42,-91.437992432000001,43.179909948000002,80.0296478,,19.9625835,,51.6090927,,3.5036416,,18.1296501,,24.9169159,
56,YEL,44,-91.334703460000000,43.023507535999997,94.2450790,,5.7544026,,74.5891647,,9.5545874,,4.1289063,,10.1013260,
57,YEL,49,-91.478808944999997,43.137335958000001,87.3495483,,11.7374506,,57.0665169,,8.3418598,,8.8935728,,21.9411736,
58,YEL,5,-91.557159437999999,43.089651240000002,92.3815384,,7.6184626,,17.8876019,,72.0936813,,0.0000000,,2.4002521,
59,YEL,50,-91.288848983999998,43.184383488000002,19.5451393,,80.4548645,,1.2287786,,2.5879533,,80.3038635,,15.7284069,
60,YEL,53,-91.752002834999999,43.154288072000000,95.8564377,,4.1435595,,86.7958527,,0.1356358,,0.0009706,,8.9249535,
61,YEL,54,-91.438121584000001,43.242175578000001,87.9351425,,11.7426567,,27.8593655,,19.7975140,,8.2976236,,40.2782669,
62,YEL,58,-91.416832403000001,43.222060800000001,75.0809097,,24.3484344,,24.9688797,,12.4418526,,21.3140755,,37.6701775,
63,YEL,72,-91.282064481999996,43.043320450000003,60.5271111,,39.4728889,,34.1672859,,0.8639465,,39.1107292,,25.4958801,
64,YEL,81,-91.513026026000006,43.127393230999999,,95.8915939,,4.1084032,,66.5311279,,9.4177494,,0.3145927,,19.9427185
65,YEL,85,-91.581679373000000,43.156425591000001,,86.9431915,,13.0503998,,76.9622269,,1.2531112,,7.4326973,,8.7278547
66,YEL,89,-91.671301825000000,43.174819564000003,,87.7385254,,11.1651955,,25.9095554,,9.5294600,,0.0000464,,52.2995071
67,YEL,9,-91.693824212999999,43.143106140000000,94.8461838,,5.1498499,,86.8638382,,1.3526219,,1.7673345,,6.6297264,
68,YEL,97,-91.465771649000004,43.136950876999997,,76.6585999,,18.9268742,,50.0255165,,6.4086299,,13.8561373,,20.2244568
69,YEL,153,-91.703595929000002,43.146928180000003,,94.9934464,,5.0022130,,89.5698166,,1.4553977,,1.7107940,,3.9682288
