HUC8,site,reach,species,30_60,60_90,90_120,120_150,150_180,180_210,210_240,240plus
YEL,44,3,WBD,,4,5,,,,,
YEL,44,3,SRD,2,3,,,,,,
YEL,49,1,WBD,1,36,7,,,,,
YEL,49,1,LND,,17,3,,,,,
YEL,49,1,SRD,,1,,,,,,
YEL,49,1,CRC,,1,1,1,1,,,
YEL,49,1,FTD,9,,,,,,,
YEL,49,1,WSU,,,1,,2,,,
YEL,49,1,CSR,,3,1,,,,,
YEL,49,2,WSU,,,,,1,1,,1
YEL,49,2,CRC,1,6,19,3,1,1,,
YEL,49,2,CSR,2,25,8,,,,,
YEL,49,2,WBD,2,24,2,,,,,
YEL,49,2,FTD,11,,,,,,,
YEL,49,2,LND,1,11,1,,,,,
YEL,49,2,FHM,,1,,,,,,
YEL,49,3,WSU,,,,,3,,1,
YEL,49,3,CRC,,1,8,10,1,,,
YEL,49,3,WBD,1,19,1,,,,,
YEL,49,3,LND,,13,5,,,,,
YEL,49,3,FTD,15,,,,,,,
YEL,49,3,CSR,2,7,4,,,,,
YEL,50,1,LND,11,3,,,,,,
YEL,50,1,BLB,,,,1,,,,
YEL,50,1,WBD,,4,,,,,,
YEL,50,1,WSU,2,,,,,,,
YEL,50,1,FHM,1,,,,,,,
YEL,50,1,FTD,1,,,,,,,
YEL,50,2,FTD,,2,,,,,,
YEL,50,2,WBD,2,4,,,,,,
YEL,50,2,FHM,1,,,,,,,
YEL,50,2,LND,9,5,,,,,,
YEL,50,2,WSU,1,,,,,,,
YEL,50,3,WBD,,5,,,,,,
YEL,50,3,FTD,,2,,,,,,
YEL,50,3,LND,,3,,,,,,
YEL,50,3,SRD,,1,,,,,,
YEL,50,3,WSU,1,,,,,,,
YEL,50,3,CRC,1,,,,,,,
YEL,54,1,CRC,4,14,16,2,4,2,,
YEL,54,1,WSU,,,1,8,9,3,1,1
YEL,54,1,LND,1,27,3,,,,,
YEL,54,1,SRD,4,24,,,,,,
YEL,54,1,BNM,,7,5,,,,,
YEL,54,1,CSR,3,54,29,6,10,,,
YEL,54,1,CSH,1,1,,,,,,
YEL,54,1,FHM,1,1,0,,,,,
YEL,54,1,WBD,3,37,1,,,,,
YEL,54,1,FTD,20,3,,,,,,
YEL,54,1,JOD,2,1,,,,,,
YEL,54,1,HHC,,,1,,2,,,
YEL,54,1,BMS,,5,,,,,,
YEL,54,1,SSH,,2,,,,,,
YEL,54,2,BNM,1,7,2,,,,,
YEL,54,2,CSH,,36,39,3,1,,,
YEL,54,2,WSU,,1,1,6,16,1,,
YEL,54,2,CRC,2,10,20,5,1,,,
YEL,54,2,CSR,2,43,11,,,,,
YEL,54,2,SRD,5,18,,,,,,
YEL,54,2,BMS,,14,,,,,,
YEL,54,2,WBD,6,26,,,,,,
YEL,54,2,LND,,17,,,,,,
YEL,54,2,FTD,5,,,,,,,
YEL,54,2,JOD,4,,,,,,,
YEL,54,3,CRC,5,14,12,7,2,,,
YEL,54,3,WSU,,,,6,9,7,1,
YEL,54,3,BNM,1,2,1,,,,,
YEL,54,3,CSR,2,18,5,,,,,
YEL,54,3,CSH,,4,13,5,2,,,
YEL,54,3,SRD,5,9,,,,,,
YEL,54,3,FTD,31,2,,,,,,
YEL,54,3,BMS,4,8,,,,,,
YEL,54,3,LND,1,12,2,,,,,
YEL,54,3,WBD,2,18,,,,,,
YEL,54,3,JOD,1,,,,,,,
YEL,58,1,CRC,,5,6,2,1,,,
YEL,58,1,CSH,,4,8,2,,,,
YEL,58,1,CSR,3,2,2,,,,,
YEL,58,1,WSU,,,1,,4,4,,
YEL,58,1,WBD,3,14,1,,,,,
YEL,58,1,BMS,1,12,,,,,,
YEL,58,1,BNM,,1,,,,,,
YEL,58,1,LND,,3,,,,,,
YEL,58,1,JOD,1,1,,,,,,
YEL,58,1,SSH,,1,,,,,,
YEL,58,1,SRD,1,,,,,,,
YEL,58,2,WSU,,,2,1,20,16,5,
YEL,58,2,CSH,,3,10,3,3,,,
YEL,58,2,CRC,,6,9,8,4,,,
YEL,58,2,WBD,,20,,,,,,
YEL,58,2,HHC,,,1,,,,,
YEL,58,2,BMS,1,6,,,,,,
YEL,58,2,LND,,4,,,,,,
YEL,58,2,SRD,,1,,,,,,
YEL,58,2,GSF,1,,,,,,,
YEL,58,2,CSR,,3,1,,1,,,
YEL,58,2,FHM,3,3,,,,,,
YEL,58,2,JOD,1,,,,,,,
YEL,58,2,BNM,1,,,,,,,
YEL,58,2,FTD,1,,,,,,,
YEL,58,3,CRC,,4,5,1,1,,,
YEL,58,3,WBD,,15,,,,,,
YEL,58,3,CSH,,1,5,,,,,
YEL,58,3,WSU,,,,3,1,4,,1
YEL,58,3,CSR,1,11,6,2,,,,
YEL,58,3,JOD,2,2,,,,,,
YEL,58,3,LND,,11,,,,,,
YEL,58,3,BNM,,1,,,,,,
YEL,58,3,BMS,1,6,,,,,,
YEL,58,3,FTD,2,,,,,,,
YEL,58,3,FHM,,1,,,,,,
YEL,85,1,CRC,14,12,6,2,1,,,
YEL,85,1,WBD,22,1,,,,,,
YEL,85,1,CSR,63,44,2,,,,,
YEL,85,1,JOD,6,,,,,,,
YEL,85,1,SRD,3,,,,,,,
YEL,85,1,CSH,,1,,,,,,
YEL,85,2,CRC,14,13,3,,1,1,,
YEL,85,2,WBD,26,14,5,,,,,
YEL,85,2,SRD,2,3,,,,,,
YEL,85,2,CSR,8,4,,,,,,
YEL,85,2,JOD,4,,,,,,,
YEL,85,2,FHM,1,2,,,,,,
YEL,85,3,WBD,2,9,3,,,,,
YEL,85,3,CRC,18,24,7,4,2,1,,
YEL,85,3,CSR,33,53,6,1,,,,
YEL,85,3,SRD,,5,,,,,,
YEL,106,1,CRC,,14,6,6,,,,
YEL,106,1,CSR,,4,1,,,,,
YEL,106,1,CSH,,,1,,,,,
YEL,106,1,WBD,,7,,,,,,
YEL,106,1,SRD,,2,,,,,,
YEL,106,1,BLG,1,,,,,,,
YEL,106,1,BMS,,1,,,,,,
YEL,106,1,FHM,3,,,,,,,
YEL,106,1,JOD,3,1,,,,,,
YEL,106,1,FTD,1,,,,,,,
YEL,106,2,FTD,12,1,,,,,,
YEL,106,2,WBD,1,14,,,,,,
YEL,106,2,CRC,,1,,,,,,
YEL,106,2,CSR,,7,,,,,,
YEL,106,2,JOD,2,,,,,,,
YEL,106,3,FTD,8,4,,,,,,
YEL,106,3,BMS,1,3,,,,,,
YEL,106,3,FHM,2,1,,,,,,
YEL,106,3,CSR,,3,,,,,,
YEL,106,3,WBD,,1,2,,,,,
YEL,106,3,CRC,,1,1,,,,,
YEL,118,1,BSB,2,,,,,,,
YEL,118,1,LND,,2,,,,,,
YEL,118,1,GSF,3,,,,,,,
YEL,118,2,WSU,,1,1,,1,2,,
YEL,118,2,BSB,3,,,,,,,
YEL,118,2,CSH,,,,1,,,,
YEL,118,2,FHM,1,3,,,,,,
YEL,118,2,GSF,12,,,,,,,
YEL,118,2,LND,,1,,,,,,
YEL,118,3,CRC,3,,8,3,,,,
YEL,118,3,WSU,,,,1,,,,
YEL,118,3,SRD,1,1,,,,,,
YEL,118,3,BSB,3,,,,,,,
YEL,118,3,GSF,3,,,,,,,
YEL,118,3,WBD,,1,,,,,,
YEL,118,3,CSH,,1,1,,,,,
YEL,118,3,FHM,,1,,,,,,
YEL,118b,1,WSU,,,,,2,1,,
YEL,118b,1,GSF,1,,,,,,,
YEL,118b,1,BSB,1,,,,,,,
YEL,118b,2,WSU,,4,5,18,13,4,1,
YEL,118b,2,CRC,,1,,3,2,,,
YEL,118b,2,FHM,6,1,,,,,,
YEL,118b,2,GSF,4,,,,,,,
YEL,118b,2,LND,,1,,,,,,
YEL,118b,2,BLB,,1,,1,,,,
YEL,118b,3,CRC,,1,7,5,1,,,
YEL,118b,3,FHM,2,2,,,,,,
YEL,118b,3,LND,,2,,,,,,
YEL,118b,3,WSU,,1,,6,1,,,
YEL,118b,3,GSF,7,,,,,,,
YEL,125,1,WSU,,,2,2,,,,
YEL,125,1,CRC,5,13,18,5,1,,,
YEL,125,1,CSR,,12,7,2,,,,
YEL,125,1,LND,,1,3,,,,,
YEL,125,1,JOD,3,,,,,,,
YEL,125,2,CRC,,3,,2,,,,
YEL,125,2,CSR,,1,,,,,,
YEL,125,2,WSU,,1,4,,,,,
YEL,125,2,JOD,3,2,,,,,,
YEL,125,3,CSR,,59,11,2,,,,
YEL,125,3,WSU,,,6,2,1,1,,
YEL,125,3,CRC,,12,26,4,2,1,1,
YEL,125,3,JOD,6,3,,,,,,
YEL,125,3,LMB,1,,,,,,,
YEL,153,1,CRC,2,27,21,12,3,5,4,
YEL,153,1,CSR,1,6,18,7,3,,,
YEL,153,1,SRD,3,30,1,,,,,
YEL,153,1,CSH,,26,30,30,8,,,
YEL,153,1,WBD,24,126,29,,,,,
YEL,153,1,WSU,,,8,10,15,19,9,4
YEL,153,1,BMS,4,22,,,,,,
YEL,153,1,BNM,,1,1,,,,,
YEL,153,1,JOD,11,4,,,,,,
YEL,153,1,FTD,36,1,,,,,,
YEL,153,1,BSB,1,,,,,,,
YEL,153,2,CRC,3,14,13,11,9,4,,
YEL,153,2,WSU,,,14,21,8,10,5,12
YEL,153,2,CSH,,3,15,19,3,,,
YEL,153,2,CSR,2,5,67,49,2,,,
YEL,153,2,WBD,10,78,13,,,,,
YEL,153,2,BNM,,5,1,,,,,
YEL,153,2,SRD,1,11,,,1,,,
YEL,153,2,FHM,,2,,,,,,
YEL,153,2,FTD,41,3,,,,,,
YEL,153,2,JOD,2,2,,,,,,
YEL,153,2,BMS,,1,,,,,,
YEL,153,2,LND,,1,,,,,,
YEL,153,3,BNM,1,3,,,,,,
YEL,153,3,CSH,,1,1,7,,,,
YEL,153,3,WBD,20,65,3,,,,,
YEL,153,3,WSU,,1,8,14,7,2,4,3
YEL,153,3,CRC,9,31,14,22,14,4,2,
YEL,153,3,FTD,131,6,,,,,,
YEL,153,3,SRD,11,15,,,,,,
YEL,153,3,CSR,8,3,,,,,,
YEL,153,3,JOD,26,1,,,,,,
YEL,153,3,BMS,,1,,,,,,
YEL,153,3,FHM,35,5,,,,,,
YEL,154,1,CRC,1,1,7,4,1,,,
YEL,154,1,WSU,,,10,15,3,,,
YEL,154,1,JOD,14,1,,,,,,
YEL,154,1,LND,19,,,,,,,
YEL,154,1,CSR,,3,,,,,,
YEL,154,1,LMB,1,,,,,,,
YEL,154,2,CRC,,4,15,11,1,,,
YEL,154,2,WSU,,,12,17,2,1,,2
YEL,154,2,CSR,3,12,,,,,,
YEL,154,2,LMB,1,,,,,,,
YEL,154,2,LND,11,,,,,,,
YEL,154,2,JOD,19,,,,,,,
YEL,154,3,CSR,37,117,7,,,,,
YEL,154,3,CRC,6,5,11,5,,,,
YEL,154,3,WSU,1,2,6,9,2,,1,1
YEL,154,3,LND,13,,,,,,,
YEL,154,3,JOD,31,,,,,,,
YEL,165,1,WSU,,1,,1,11,14,26,52
YEL,165,1,CSH,2,40,29,24,3,,,
YEL,165,1,CRC,6,3,9,1,3,2,,
YEL,165,1,CSR,2,7,2,,,,,
YEL,165,1,LND,1,,1,,,,,
YEL,165,1,FTD,68,,,,,,,
YEL,165,1,HHC,1,9,7,5,,,,
YEL,165,1,WBD,21,17,,,,,,
YEL,165,1,GSF,1,1,,,,,,
YEL,165,1,JOD,5,2,,,,,,
YEL,165,1,SRD,1,5,,,,,,
YEL,165,1,FHM,1,,,,,,,
YEL,165,2,WSU,,,,1,6,18,24,65
YEL,165,2,CRC,5,2,3,1,1,1,2,
YEL,165,2,HHC,,6,,2,1,,,
YEL,165,2,WBD,9,8,,,,,,
YEL,165,2,CSH,1,11,9,6,1,,,
YEL,165,2,JOD,1,,,,,,,
YEL,165,2,FTD,11,6,,,,,,
YEL,165,2,GSF,2,3,,,,,,
YEL,165,2,BNM,1,3,,,,,,
YEL,165,2,CSR,,3,,,,,,
YEL,165,3,SRD,,4,,,,,,
YEL,165,3,LND,,,3,,,,,
YEL,165,3,WSU,,,,,8,5,32,40
YEL,165,3,GSF,,,,2,,,,
YEL,165,3,CRC,2,2,3,2,2,1,,
YEL,165,3,HHC,2,2,1,,1,,,
YEL,165,3,CSH,1,1,3,2,,,,
YEL,165,3,BSB,3,,,,,,,
YEL,165,3,FTD,3,,,,,,,
YEL,165,3,JOD,1,,,,,,,
YEL,165,3,BNM,,,1,,,,,
YEL,165,3,STC,,,,,1,,,
LMAQ,8,1,FTD,16,1,,,,,,
LMAQ,8,1,BSB,3,,,,,,,
LMAQ,8,1,CRC,,1,,,,,,
LMAQ,8,1,Cottus,,1,,,,,,
LMAQ,8,2,FTD,8,,,,,,,
LMAQ,8,2,BSB,3,1,,,,,,
LMAQ,8,2,CRC,1,,,,,,,
LMAQ,8,2,Cottus,,,,1,,,,
LMAQ,8,3,WBD,,,1,,,,,
LMAQ,8,3,FTD,3,1,,,,,,
LMAQ,8,3,BSB,3,,,,,,,
LMAQ,8,3,CRC,3,,,,,,,
LMAQ,20,1,BSB,,1,,,,,,
LMAQ,20,1,CRC,7,9,5,4,,,,
LMAQ,20,1,WBD,,,4,,,,,
LMAQ,20,1,FTD,5,,,,,,,
LMAQ,20,1,SRD,1,,,,,,,
LMAQ,20,2,CRC,1,,,,,,,
LMAQ,20,2,FTD,3,,,,,,,
LMAQ,20,3,BSB,,1,,,,,,
LMAQ,23,1,Cottus,10,19,,,,,,
LMAQ,23,1,Cottus,2,3,3,,,,,
LMAQ,23,2,Cottus,5,10,2,,,,,
LMAQ,23,2,Cottus,,,1,,,,,
LMAQ,23,3,Cottus,17,22,5,,,,,
LMAQ,23,3,Cottus,,1,,,,,,
