"newID","Xcoord","Ycoord","BRT","LND","SRD","Cottus","SGCN"
"YEL_49",623397.990458,4777127.99205,1,1,1,0,2
"YEL_50",639037.412547,4782725.98362,1,1,1,0,2
"YEL_53",601421.587207,4778813.65329,0,0,0,0,0
"YEL_54",626870.955254,4788967.08378,0,1,1,0,2
"YEL_58",628693.334437,4786635.8686,1,1,1,0,2
"YEL_72",639947.077891,4767137.51616,1,0,0,0,0
"YEL_81",620882.613428,4775908.43394,1,0,0,0,0
"YEL_85",615298.334632,4779130.37148,0,0,1,0,1
"YEL_89",607997.127434,4781055.47558,0,0,0,0,0
"YEL_97b",624780.047079,4777177.20315,1,0,0,0,0
"YEL_106",628062.017829,4787123.5277,0,0,1,0,1
"YEL_109",610568.119477,4782792.03983,0,0,0,0,0
"YEL_118",635584.022402,4786988.6686,0,1,1,0,2
"YEL_118b",636014.3252,4787168.54011,1,1,0,0,1
"YEL_121",605799.987733,4777757.68299,0,0,0,0,0
"YEL_125",625016.784293,4793899.69733,0,1,0,0,1
"YEL_140",640991.449296,4766182.92904,1,0,0,0,0
"YEL_153",605251.787746,4777870.06963,0,1,1,0,2
"YEL_154",628510.814571,4793708.74961,0,1,0,0,1
"YEL_157",609143.794332,4782704.09955,0,0,0,0,0
"YEL_165",609244.61926,4777208.18942,1,1,1,0,2
"YEL_168",637729.758729,4764873.5566,1,0,0,0,0
"YEL_169",619152.738441,4774220.44377,0,0,0,0,0
"YEL_173",609425.297074,4780454.53504,0,0,0,0,0
"YEL_177",620846.551979,4776021.54835,0,0,0,0,0
"YEL_189",606171.114241,4777315.51615,0,0,0,0,0
"YEL_190",632269.499273,4786008.58727,1,0,0,0,0
"LMAQ_8",648199.590818,4754809.40032,1,0,0,1,1
"LMAQ_9",650847.915063,4748613.10166,0,0,0,0,0
"LMAQ_15",644815.347933,4758931.02726,1,0,0,0,0
"LMAQ_20",648020.770536,4754463.9728,1,0,1,0,1
"LMAQ_22",653979.61311,4739563.10625,0,0,0,0,0
"LMAQ_23",642362.023139,4758386.95049,1,0,0,1,1
"LMAQ_26",647303.526064,4757129.48995,1,0,0,0,0
