FID,FID_1,newID,Xcoord,Ycoord,HUC8,site,BKT,BRT,Trout_Stat,FID_2,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,IGS_name
96,61,UPI_75,579278.661635000025854,4802886.546199999749660,UPI,75,0,0,0,23,07060002,0706000202,070600020206,13136.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020208,Martha Creek-Upper Iowa River,NM,S,IA01,IA,Upper Iowa River-Martha Creek
97,6,UPI_18,604313.986459000036120,4812089.154520000331104,UPI,18,0,1,1,24,07060002,0706000205,070600020503,23277.000000000000000,0.000000000000000, , ,0706000206,Bear Creek,TF,S,070600020602,Bear Creek,TF,S,IA01,IA,Bear Creek-Waterloo Creek
98,12,UPI_61,612699.546499000047334,4813349.144480000250041,UPI,61,0,1,1,24,07060002,0706000205,070600020503,23277.000000000000000,0.000000000000000, , ,0706000206,Bear Creek,TF,S,070600020602,Bear Creek,TF,S,IA01,IA,Bear Creek-Waterloo Creek
99,15,UPI_109,613456.340384999988601,4812413.906709999777377,UPI,109,0,1,1,24,07060002,0706000205,070600020503,23277.000000000000000,0.000000000000000, , ,0706000206,Bear Creek,TF,S,070600020602,Bear Creek,TF,S,IA01,IA,Bear Creek-Waterloo Creek
100,18,UPI_130,607593.694824000005610,4810319.117039999924600,UPI,130,1,1,3,24,07060002,0706000205,070600020503,23277.000000000000000,0.000000000000000, , ,0706000206,Bear Creek,TF,S,070600020602,Bear Creek,TF,S,IA01,IA,Bear Creek-Waterloo Creek
101,85,UPI_170,608772.147617000038736,4809759.402979999780655,UPI,170,0,0,0,24,07060002,0706000205,070600020503,23277.000000000000000,0.000000000000000, , ,0706000206,Bear Creek,TF,S,070600020602,Bear Creek,TF,S,IA01,IA,Bear Creek-Waterloo Creek
102,57,UPI_36,589390.184109000023454,4788416.867499999701977,UPI,36,0,0,0,26,07060002,0706000204,070600020401,20177.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020404,Dry Run,TF,S,IA01,IA,Dry Run-Upper Iowa River
103,62,UPI_84,588903.675908999983221,4788524.622299999929965,UPI,84,0,0,0,26,07060002,0706000204,070600020401,20177.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020404,Dry Run,TF,S,IA01,IA,Dry Run-Upper Iowa River
104,98,UPI_28,596108.810922999982722,4794832.967179999686778,UPI,28,0,1,1,26,07060002,0706000204,070600020401,20177.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020404,Dry Run,TF,S,IA01,IA,Dry Run-Upper Iowa River
105,55,UPI_27,608155.901523999986239,4787618.952850000001490,UPI,27,0,0,0,28,07060002,0706000204,070600020406,15828.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020408,Trout River,TF,S,IA01,IA,Trout River
106,56,UPI_32,609596.874492999981157,4786234.730619999580085,UPI,32,0,0,0,28,07060002,0706000204,070600020406,15828.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020408,Trout River,TF,S,IA01,IA,Trout River
107,68,UPI_32b,609452.566198999993503,4785924.814740000292659,UPI,0,0,0,0,28,07060002,0706000204,070600020406,15828.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020408,Trout River,TF,S,IA01,IA,Trout River
108,94,UPI_151,608586.195068000000902,4790951.435229999944568,UPI,151,0,1,1,28,07060002,0706000204,070600020406,15828.000000000000000,0.000000000000000, , ,0706000206,Trout Creek-Upper Iowa River,NM,S,070600020408,Trout River,TF,S,IA01,IA,Trout River
109,0,UPI_93,610254.040474000037648,4807531.895299999974668,UPI,93,1,0,2,29,07060002,0706000206,070600020602,23677.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600020605,Paint Creek-Upper Iowa River,TF,S,IA01,IA,Upper Iowa River-Patterson Creek
110,19,UPI_149,611899.311345000052825,4805809.694790000095963,UPI,149,1,1,3,29,07060002,0706000206,070600020602,23677.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600020605,Paint Creek-Upper Iowa River,TF,S,IA01,IA,Upper Iowa River-Patterson Creek
111,2,UPI_1,622858.235749999992549,4798728.269460000097752,UPI,1,0,1,1,30,07060002,0706000206,070600020603,13774.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600020605,Silver Creek,TF,S,IA01,IA,Silver Creek-Upper Iowa River
112,40,YEL_103,639595.890613000025041,4806827.009290000423789,YEL,103,1,1,3,31,07060001,0706000107,070600010702,38468.000000000000000,0.000000000000000, , ,0706000110,Rush Creek-Mississippi River,TF,S,070600010705,Clear Creek-Mississippi River,TF,M,IA01,"IA,WI",Mississippi River
113,96,UPI_23,575724.774034000001848,4803979.098640000447631,UPI,23,1,0,2,32,07060002,0706000202,070600020202,22562.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020203,Silver Creek,NM,S,IA01,IA,Silver Creek-Minor Creek
114,97,UPI_25,569678.255918000009842,4804744.723790000192821,UPI,25,1,0,2,32,07060002,0706000202,070600020202,22562.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020203,Silver Creek,NM,S,IA01,IA,Silver Creek-Minor Creek
115,95,UPI_153,577117.285937999957241,4810930.091799999587238,UPI,153,0,0,0,33,07060002,0706000202,070600020203,29031.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Daisy Valley-Upper Iowa River,NM,S,MN01,"IA,MN",Upper Iowa River-Bigalks Creek
116,49,UPI_202,586001.658460999955423,4809933.107470000162721,UPI,202,0,1,1,34,07060002,0706000202,070600020204,15945.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Cold Water Creek,NM,S,MN01,"IA,MN",Cold Water Creek
117,53,UPI_13,578831.913963000057265,4816598.646759999915957,UPI,13,0,0,0,34,07060002,0706000202,070600020204,15945.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Cold Water Creek,NM,S,MN01,"IA,MN",Cold Water Creek
118,58,UPI_41,581294.914743999950588,4813948.838489999994636,UPI,41,0,0,0,34,07060002,0706000202,070600020204,15945.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Cold Water Creek,NM,S,MN01,"IA,MN",Cold Water Creek
119,60,UPI_57,579167.042680999962613,4816253.523830000311136,UPI,57,0,0,0,34,07060002,0706000202,070600020204,15945.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Cold Water Creek,NM,S,MN01,"IA,MN",Cold Water Creek
120,69,UPI_57b,579568.509547000052407,4815377.871639999561012,UPI,0,0,0,0,34,07060002,0706000202,070600020204,15945.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Cold Water Creek,NM,S,MN01,"IA,MN",Cold Water Creek
121,7,UPI_22,589784.525676000048406,4815485.663929999805987,UPI,22,0,1,1,35,07060002,0706000202,070600020205,22598.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Pine Creek,NM,S,MN01,"IA,MN",Pine Creek-Upper Iowa River
122,11,UPI_38,590094.965662000002339,4815003.352620000019670,UPI,38,0,1,1,35,07060002,0706000202,070600020205,22598.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Pine Creek,NM,S,MN01,"IA,MN",Pine Creek-Upper Iowa River
123,65,UPI_118,585477.881370999966748,4812513.790269999764860,UPI,118,0,0,0,35,07060002,0706000202,070600020205,22598.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020206,Pine Creek,NM,S,MN01,"IA,MN",Pine Creek-Upper Iowa River
124,4,UPI_12,590207.388843999942765,4802737.502249999903142,UPI,12,1,1,3,36,07060002,0706000202,070600020208,20562.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020404,Falcon Springs State Wildlife Area-Upper Iowa River,TF,S,MN01,"IA,MN",Upper Iowa River-Casey Spring Creek
125,8,UPI_26,590496.201598000014201,4808404.800189999863505,UPI,26,0,1,1,36,07060002,0706000202,070600020208,20562.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020404,Falcon Springs State Wildlife Area-Upper Iowa River,TF,S,MN01,"IA,MN",Upper Iowa River-Casey Spring Creek
126,21,UPI_156,591564.575501000043005,4800771.168779999949038,UPI,156,1,1,3,36,07060002,0706000202,070600020208,20562.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020404,Falcon Springs State Wildlife Area-Upper Iowa River,TF,S,MN01,"IA,MN",Upper Iowa River-Casey Spring Creek
127,3,UPI_10,594773.594264999963343,4810696.303810000419617,UPI,10,0,1,1,37,07060002,0706000203,070600020302,30434.000000000000000,0.000000000000000, , ,0706000204,Canoe Creek,TF,S,070600020408,Canoe Creek,TF,S,MN01,"IA,MN",Canoe Creek
128,9,UPI_34,607495.531748999957927,4803850.270720000378788,UPI,34,1,1,3,37,07060002,0706000203,070600020302,30434.000000000000000,0.000000000000000, , ,0706000204,Canoe Creek,TF,S,070600020408,Canoe Creek,TF,S,MN01,"IA,MN",Canoe Creek
129,20,UPI_154,597363.689483999973163,4804117.233269999735057,UPI,154,1,1,3,37,07060002,0706000203,070600020302,30434.000000000000000,0.000000000000000, , ,0706000204,Canoe Creek,TF,S,070600020408,Canoe Creek,TF,S,MN01,"IA,MN",Canoe Creek
130,22,UPI_157,610163.182180000003427,4816907.328390000388026,UPI,157,1,1,3,38,07060002,0706000205,070600020501,20335.000000000000000,0.000000000000000, , ,0706000206,Bear Creek,NM,S,070600020503,North Bear Creek,NM,S,MN01,"IA,MN",North Bear Creek
131,10,UPI_35,619846.057931000017561,4816718.382360000163317,UPI,35,1,1,3,39,07060002,0706000205,070600020502,30610.000000000000000,0.000000000000000, , ,0706000206,Bear Creek,NM,S,070600020503,Waterloo Creek,NM,S,MN01,"IA,MN",Waterloo Creek
132,23,UPI_163,621497.356279000057839,4815118.426930000074208,UPI,163,0,1,1,39,07060002,0706000205,070600020502,30610.000000000000000,0.000000000000000, , ,0706000206,Bear Creek,NM,S,070600020503,Waterloo Creek,NM,S,MN01,"IA,MN",Waterloo Creek
133,99,UPI_70,628217.055398000054993,4815085.894589999690652,UPI,70,0,1,1,40,07060002,0706000206,070600020605,17453.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,NM,S,070600020606,Clear Creek-Upper Iowa River,NM,S,MN01,"IA,MN",Upper Iowa River-Clear Creek
134,5,UPI_14,633960.023685000021942,4814260.275720000267029,UPI,14,0,1,1,41,07060002,0706000206,070600020606,22293.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600010505,Upper Iowa River,TF,S,MN01,"IA,MN",Upper Iowa River-Irish Hollow Creek
135,47,UPI_14b,633778.293128999997862,4814158.798919999971986,UPI,0,0,1,1,41,07060002,0706000206,070600020606,22293.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600010505,Upper Iowa River,TF,S,MN01,"IA,MN",Upper Iowa River-Irish Hollow Creek
136,101,UPI_78,632691.684607999981381,4808782.579850000329316,UPI,78,0,1,1,41,07060002,0706000206,070600020606,22293.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600010505,Upper Iowa River,TF,S,MN01,"IA,MN",Upper Iowa River-Irish Hollow Creek
137,102,UPI_78b,632125.312700000009499,4808950.797919999808073,UPI,0,1,1,3,41,07060002,0706000206,070600020606,22293.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600010505,Upper Iowa River,TF,S,MN01,"IA,MN",Upper Iowa River-Irish Hollow Creek
