Watershed (HUC 8),Site #,SGCN,SGCN_sp,SGCN_ab,Richness,Temp,mWidth,mDepth,mVelocity,% Riffle,% Run,% Slow,% Fine,% Course
Upper Iowa River,1,0,0,0,6,16.9,3.01,0.38,0.25,33.3,25,41.7,41.7,58.3
Upper Iowa River,8,1,2,3,14,12.9,6.96,0.37,0.45,33.3,66.7,0,8.3,91.7
Upper Iowa River,10,0,0,0,7,13.1,3.67,0.51,0.44,8.3,75,16.7,83.3,16.7
Upper Iowa River,11,0,0,0,1,10.6,2.18,0.1,0.37,83.3,16.7,0,0,100
Upper Iowa River,12,1,1,1,4,11.7,2.07,0.24,0.07,33.3,41.7,25,25,75
Upper Iowa River,13,1,1,1,8,15.9,3.46,0.44,0.19,16.7,33.3,50,25,75
Upper Iowa River,14,0,0,0,4,13.4,2.44,0.26,0.29,16.7,75,8.3,50,50
Upper Iowa River,16,0,0,0,4,14.6,1.33,0.3,0.29,16.7,75,8.3,58.3,41.7
Upper Iowa River,18,1,1,9,3,15.27,2.93,0.25,0.09,25,8.3,66.7,50,50
Upper Iowa River,22,0,0,0,2,16.6,2.29,0.3,0.34,50,25,25,25,75
Upper Iowa River,26,1,2,29,13,18.9,5.68,0.37,0.42,33.3,41.7,25,16.7,75
Upper Iowa River,27,0,0,0,6,10.9,3.81,0.47,0.6,41.7,58.3,0,16.7,83.3
Upper Iowa River,29,0,0,0,0,14.2,1.46,0.17,0.12,41.7,16.7,41.7,16.7,83.3
Upper Iowa River,32,0,0,0,2,15.3,2.03,0.24,0.5,16.7,83.3,0,16.7,83.8
Upper Iowa River,34,1,2,103,8,13.9,3.11,0.3,0.18,25,25,50,16.7,83.3
Upper Iowa River,35,1,2,188,3,12.2,5.27,0.48,0.21,16.7,33.3,50,16.7,66.6
Upper Iowa River,36,0,0,0,3,19.7,2.11,0.35,0.4,16.7,75,8.3,50,50
Upper Iowa River,38,0,0,0,3,11.8,2.36,0.35,0.3,8.3,91.7,0,25,75
Upper Iowa River,41,1,1,1,8,21.7,2.54,0.28,0.18,16.7,50,33.3,50,50
Upper Iowa River,48,1,1,17,6,15,3.35,0.27,0.31,41.7,41.7,16.6,8.3,91.7
Upper Iowa River,57,0,0,0,3,14.3,1.01,0.24,0.1,8.3,41.7,50,91.7,8.3
