"newID","HUC8","HUC_10","HUC_12","Year","IBIScore","Rating","MEANT","pctrun","pctrock","pctShade","pctBrBnk","HAiFLS_dev","HAiFLS_for"
"UPI_1","UPI",706000206,70600020603,2018,45,"Fair",17.421875,0.375,44.4444444444444,27.8219395866455,1.33333333333333,10.1226835,39.1816711
"UPI_8","UPI",706000202,70600020207,2018,0,"Very Poor",21.9288194444444,0.695652173913043,66.6666666666667,21.4714714714715,1.75,5.4927406,3.8072126
"UPI_10","UPI",706000203,70600020302,2018,25,"Poor",18.4495601851852,0.782608695652174,29.1666666666667,2.70270270270269,1.875,6.0576077,0.0171744
"UPI_12","UPI",706000202,70600020208,2018,90,"Good",17.7402777777778,0.333333333333333,72.3404255319149,31.3063063063063,1.41666666666667,2.0984025,25.6601162
"UPI_13","UPI",706000202,70600020204,2018,15,"Poor",18.66375,0.291666666666667,56.25,62.4624624624625,2.70833333333333,1.1858387,14.4057808
"UPI_16","UPI",706000204,70600020405,2018,55,"Fair",18.7233796296296,0.833333333333333,38.8888888888889,21.4285714285714,1.375,0.8135203,0.4850812
"UPI_18","UPI",706000205,70600020503,2018,80,"Good",19.3814814814815,0.125,50,66.7417417417417,1.625,3.2313552,6.680882
"UPI_22","UPI",706000202,70600020205,2018,50,"Fair",18.7746296296296,0.458333333333333,67.741935483871,3.60360360360362,0.791666666666667,3.7366495,0.0007945
"UPI_27","UPI",706000204,70600020406,2018,15,"Poor",21.5668518518519,0.714285714285714,66.6666666666667,64.7147147147147,1.29166666666667,3.5147047,3.1386724
"UPI_34","UPI",706000203,70600020302,2018,60,"Fair",16.6888657407407,0.333333333333333,85.7142857142857,71.8468468468468,1.04166666666667,0.3131506,35.5497017
"UPI_35","UPI",706000205,70600020502,2018,100,"Good",17.2473611111111,0.375,86.3636363636364,28.060413354531,0.625,5.8393698,18.2874947
"UPI_38","UPI",706000202,70600020205,2018,50,"Fair",18.6836111111111,0.833333333333333,56.7567567567568,4.9694856146469,0.833333333333333,4.4644709,4.9718437
"UPI_48","UPI",706000204,70600020403,2018,20,"Poor",18.699537037037,0.458333333333333,88.8888888888889,66.0660660660661,1.08333333333333,1.4141521,14.5001488
"UPI_85","UPI",706000206,70600020604,2018,95,"Good",17.6680787037037,0.130434782608696,100,91.0810810810811,0.625,8.9017849,57.5264244
"UPI_86","UPI",706000203,70600020301,2018,25,"Poor",14.5513657407407,0.333333333333333,90,35.7357357357357,1.66666666666667,1.2784119,16.0228348
"UPI_93","UPI",706000206,70600020602,2018,55,"Fair",16.1285648148148,0.458333333333333,77.7777777777778,65.5405405405405,0.0454545454545455,0.4038334,57.9315987
"UPI_117","UPI",706000206,70600020604,2018,95,"Good",16.6258796296296,0.333333333333333,78.0487804878049,32.670906200318,0.291666666666667,0.1515671,64.0907898
"UPI_118","UPI",706000202,70600020205,2018,0,"Very Poor",21.9840509259259,0.772727272727273,78.2608695652174,61.5615615615616,1.16666666666667,6.1513205,5.1532969
"UPI_123","UPI",706000204,70600020405,2018,20,"Poor",18.4933101851852,0.521739130434783,93.1818181818182,88.79173290938,1.08333333333333,4.0334439,23.0814247
"UPI_128","UPI",706000204,70600020403,2018,70,"Good",18.5765277777778,0.791666666666667,16.2162162162162,47.3513513513513,1.25,0.9425466,1.4e-06
"UPI_130","UPI",706000205,70600020503,2018,100,"Good",18.2037731481481,0.208333333333333,54.0540540540541,90.990990990991,0.416666666666667,5.6553631,39.1104546
"UPI_135","UPI",706000202,70600020207,2018,25,"Poor",19.2979166666667,0.416666666666667,23.3333333333333,5.85585585585585,0.583333333333333,1.6403922,4.3185711
"UPI_149","UPI",706000206,70600020602,2018,90,"Good",16.5852546296296,0.130434782608696,67.3913043478261,46.2462462462462,0.458333333333333,4.3490682,43.5465355
"UPI_154","UPI",706000203,70600020302,2018,65,"Fair",18.4892592592593,0.208333333333333,97.2972972972973,10.6518282988871,0.25,9.89114,13.6107121
"UPI_156","UPI",706000202,70600020208,2018,100,"Good",10.7275925925926,0.25,85,97.2222222222222,0.583333333333333,0.0132505,54.1856232
"UPI_157","UPI",706000205,70600020501,2018,50,"Fair",19.7186342592593,0.521739130434783,54.1666666666667,35.1351351351351,0.416666666666667,3.8053176,21.1315403
"UPI_163","UPI",706000205,70600020502,2018,100,"Good",18.1166898148148,0.375,91.1111111111111,72.8185328185328,0.5,5.204968,40.6095695
"UPI_170","UPI",706000205,70600020503,2018,80,"Good",19.8069907407407,0.458333333333333,66.6666666666667,95.4954954954955,0.625,0.0980898,69.2333908
"UPI_32b","UPI",706000204,70600020406,2018,35,"Fair",20.1396759259259,0.91304347826087,81.5789473684211,7.05705705705707,0.416666666666667,6.3893757,2.6046841
"YEL_4","YEL",706000110,70600011002,2018,80,"Good",13.3723842592593,0.5,88.5714285714286,54.3243243243243,0.166666666666667,3.6826534,8.1076403
"YEL_20","YEL",706000109,70600010905,2018,40,"Fair",20.9804166666667,0.166666666666667,86.9565217391304,93.4362934362934,0.708333333333333,4.8059058,19.3974342
"YEL_41","YEL",706000109,70600010901,2018,0,"Very Poor",21.8590509259259,0.416666666666667,91.1764705882353,0,1.70833333333333,3.2514522,8.23351
"YEL_52","YEL",706000109,70600010904,2018,50,"Fair",20.7306944444444,0.708333333333333,88.4615384615385,92.5675675675676,0.833333333333333,0.5134071,9.0536451
"YEL_65","YEL",706000109,70600010901,2018,10,"Poor",20.635625,0.583333333333333,97.2222222222222,0,1,5.3727636,4.9131527
"YEL_73","YEL",706000109,70600010901,2018,5,"Very Poor",20.9844444444444,0.909090909090909,70.3703703703704,7.65765765765767,0.416666666666667,4.2284298,1.6613392
"YEL_77","YEL",706000108,70600010801,2018,0,"Very Poor",21.5436805555556,0.347826086956522,93.5483870967742,5.93093093093093,0.5,10.9829483,3.0320177
