"","df","logLik","AICc","delta","weight"
"lnd.full.mod",8,-188.474477443225,394.056647194142,0,0.531653779939694
"lnd.env.mod",6,-191.362417196838,395.361198030039,1.30455083589641,0.276916791662542
"lnd.null.mod",3,-195.329424845814,396.836627469405,2.77998027526257,0.132423133196383
"lnd.brt.mod",5,-194.001108038654,398.453343896856,4.3966967027136,0.0590062952013805
