"HUC8","Site","LoggerNumber_2018","xcoord","ycoord","MonthIn","DayIn","YearIn","MonthRep","DayRep","YearRep","NewLoggerNumber_2019","SiteDescription","RetrievalNotes","comments"
"UPI","8",4611,"584956","4795512","5","20","2018","3","16","2019","8108","UPI_008_AlanHovden",NA,NA
"UPI","84",3204,"588958","4788481","6","12","2018","NA","NA","2019","NA","UPI_084_John Humpal","LOST",NA
"UPI","84",4621,"588964","4788416","7","17","2018","3","16","2019","2811","UPI_084_Humpal",NA,NA
"UPI","85",3193,"-91.406104","43.382599","6","13","2018","3","30","2019","8174","UPI_085_IADNR_French Creek Trib.","moved downstream to large pool",NA
"UPI","86",4632,"598372","4809905","7","19","2018","3","18","2019","8172","UPI_086_Falck",NA,NA
"UPI","93",4631,"610161","4807533","7","19","2018","3","17","2019","8160","UPI_093_Deones",NA,NA
"UPI","96",3211,"595741","4784636","5","20","2018","3","18","2019","8115","UPI_096_Ron Oyloe","not 3210",NA
"YEL","1",4587,"625753","4769972","5","20","2018","3","31","2019","8118","YEL_001_Keith Johnson","dry and buried",NA
"YEL","101",4634,"602059","4778355","8","13","2018","3","19","2019","8125","YEL_101",NA,NA
"YEL","103",4596,"639603","4806825","7","16","2018","3","30","2019","8179","YEL_Lansing WMA",NA,NA
"YEL","105",3217,"624334","4784239","7","5","2018","5","16","2019","2809","YEL_105_Nordheim",NA,NA
"YEL","113",3218,"-91.49432","43.076581","5","20","2018","3","31","2019","8161","YEL_113_Mark Nelson ""BKC Vista""","partially submerged, moved downstream",NA
"YEL","119",4628,"650444","4786252","8","13","2018","5","15","2019","8164","YEL_119","retrieve logger num and replace name",NA
"YEL","120",4646,"631712","4776586","7","31","2018","5","16","2019","8123","YEL_120_BearCreek_Goettler","Lost original, installed new",NA
"YEL","125",3196,"625034","4793900","6","13","2018","3","30","2019","8158","YEL_125_Berger",NA,NA
"YEL","129",3189,"621389","4771115","6","13","2018","3","31","2019","8136","YEL_129_Martins (Nephew)",NA,"New landowner for 2019, lost 2019 logger to streambank destruction"
"YEL","150",4617,"645855","4788978","8","14","2018","5","15","2019","8113","YEL_150_Hanson",NA,NA
"YEL","161",3210,"-91.474273","43.07555","NA","NA","NA","3","31","2019","8126","YEL_161",NA,NA
"YEL","17",3208,"-91.496654","43.077229","5","20","2018","3","31","2019","8167","YEL_017_Mark Nelson ""BKC Vista""","dry, moved",NA
"YEL","178",4595,"639202","4795133","7","16","2018","5","12","2019","8141","YEL_178_Village Creek Bible Camp",NA,NA
"YEL","193",3195,"624048","4781851","7","11","2018","5","12","2019","8120","YEL_193_North Fork_Hasensick",NA,NA
"YEL","20",3197,"633593","4770657","6","14","2018","5","15","2019","8116","YEL_020_Steven Hanson + Angie Mohs","moved downstream to large pool",NA
"YEL","201",3194,"635399","4794173","6","28","2018","5","12","2019","8107","YEL_201_Janet",NA,NA
"YEL","202",4623,"606040","4780285","8","9","2018","3","19","2019","8137","YEL_Hemesath","partilly buried but wet",NA
"YEL","203",4602,"620221","4787498","7","3","2018","3","30","2019","8148","YEL_Teeple_Road, Burke_Rodeyo","Get old logger from Trapper in Decorah",NA
"YEL","204",4633,"618425","4779858","8","9","2018","5","31","2019","4625","YEL_Livinggood","moved slightly upstream in springhead",NA
"YEL","25",3220,"609151","4775694","7","6","2018","3","19","2019","8145","YEL_025_Meyer_Kim+Sandrs",NA,"originally listed as 3227"
"YEL","29",3192,"623941","4793815","6","13","2018","3","30","2019","8163","YEL_029_GreenValleyGetaway",NA,NA
"YEL","39",4619,"644651","4799637","7","17","2018","5","12","2019","8127","YEL_039_Manning",NA,NA
"YEL","4",3201,"638939","4767452","6","14","2018","5","31","2019","3187","YEL_004_David Schoenfeldt","found floating","moved to: 43.05855, -91.302585"
"YEL","40",4588,"-91.437646","43.094317","6","14","2018","3","31","2019","8122","YEL_040_Keith Johnson",NA,NA
"YEL","52",4594,"-91.453368","43.069567","5","20","2018","3","31","2019","2806","YEL_052_AnnaSch_Trib. to Hickory","moved upstream",NA
"YEL","56",4645,"-91.359949","43.134291","8","8","2018","5","15","2019","8140","YEL_056_Moon Valley","Lost original, installed new",NA
"YEL","57",4597,"609993","4775183","5","20","2018","4","9","2019","8171","YEL_57_Dennis Blumhagen",NA,NA
"YEL","65",3216,"-91.610276","43.131102","7","6","2018","3","19","2019","8159","YEL_065_DanS","Buried and dry, moved downstream","by downstream confluence attached to only tree"
"YEL","77",3191,"-91.471292","43.249945","6","13","2018","3","30","2019","8154","YEL-077_Village Farm & Home Partnership","buried in silt, not submerged, moved upstream","on parcel behind shop"
"YEL","80",3190,"642373","4771960","6","27","2018","5","16","2019","2810","YEL_80_Dousman","original removed, wire cut, installed new, looked like it would have been buried",NA
"YEL","82",4618,"638439","4793931","7","18","2018","5","12","2019","8168","YEL_082_Quillian","buried",NA
"UPI","154",9345,"43.38149","-91.77626","4","30","2018","4","1","2019","3185","UPI_154_PineSpringsWMA","Site 5 location buried","New logger listed is further upstream: 43.38153, -91.79426 "
"YEL","36",NA,"43.149513","-91.39765","NA","NA","NA","5","31","2019","4619","YEL_36_Freilinger","Not currently sure if a logger was installed for 2018","2019 logger was dry and dislodged upon removal"
"YEL","41",3188,"43.16297","-91.64883","5","21","2018","4","1","2019","3188","YEL_41_Meyer","None provided","NA"
"YEL","73",4485,"43.13261","-91.63630","4","30","2018","4","1","2019","4485","YEL_73_KoenigGreen","None provided","NA"
