"","df","logLik","AICc","delta","weight"
"srd.full.mod",8,-156.111326616361,329.330345540414,0,0.998456514128047
"srd.env.mod",6,-165.380134650891,343.396632938146,14.066287397732,0.000880792597273866
"srd.brt.mod",5,-166.757276678392,343.965681176332,14.6353356359181,0.000662683871826236
"srd.null.mod",3,-180.056991877875,366.291761533528,36.961415993114,9.40285307759024e-09
