"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","numIntolSP","pctTOLindv","pctTC_noRBT","pctCW_noRBT","pctBKT_noRBT","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","ML1_numIntolSp","ML2_pctTolindv","ML3_pctTCnoRBT","ML4_pctCWnoRBT","ML5_pctBKTnoRBT","IBIScore_M","Rating_M","IBIScore_L","Rating_L"
20,"UPI","48",6,0,127,1,3,3,3,10,7.8740157480315,0,0,0,NA,3.1496062992126,0,4,117,46.8,0,71.6535433070866,0,7.8740157480315,0,5,0,5,0,5,NA,0,0,0,0,0,5,0,0,0,0,0,20,"Poor",0,"Very Poor"
25,"UPI","85",3,101,146,3,0,0,1,146,100,46,31.5068493150685,101,0.99009900990099,0,69.1780821917808,79.3478260869565,0,0,2,0,69.1780821917808,100,0.99009900990099,10,5,10,10,10,0,5,10,10,5,10,10,20,20,20,20,0,95,"Good",80,"Good"
26,"UPI","86",7,14,98,1,3,3,2,14,14.2857142857143,0,0,14,0,22.4489795918367,14.2857142857143,7.77777777777778,84,46.6666666666667,0,59.1836734693878,14.2857142857143,14.2857142857143,0,5,0,5,5,5,0,0,0,0,0,0,5,0,0,10,0,0,25,"Poor",10,"Poor"
27,"UPI","93",5,5,67,2,2,2,1,22,32.8358208955224,5,7.46268656716418,5,100,0,7.46268656716418,22,45,45,1,62.6865671641791,7.46268656716418,32.8358208955224,100,5,5,5,10,5,10,0,0,10,0,0,5,10,0,0,0,20,55,"Fair",30,"Fair"
31,"UPI","117",3,99,122,3,0,0,1,122,100,29,23.7704918032787,99,6.06060606060606,0,81.1475409836066,67.7777777777778,0,0,2,0,81.1475409836066,100,6.06060606060606,10,5,10,10,10,0,5,10,10,10,5,10,20,20,20,20,10,95,"Good",90,"Excellent"
32,"UPI","118",13,0,237,0,4,9,5,0,0,0,0,0,NA,18.5654008438819,0,0,237,79,0,42.1940928270042,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor",0,"Very Poor"
33,"UPI","123",7,18,76,1,3,3,3,18,23.6842105263158,0,0,18,0,56.578947368421,23.6842105263158,6,58,19.3333333333333,0,64.4736842105263,23.6842105263158,23.6842105263158,0,5,0,5,0,5,0,0,0,0,0,0,5,0,0,10,0,0,20,"Poor",10,"Poor"
34,"UPI","128",1,0,25,1,0,0,0,25,100,0,0,0,NA,0,0,8.33333333333333,0,0,0,0,0,100,0,10,0,10,10,10,NA,0,10,10,0,0,10,0,20,0,20,0,70,"Good",40,"Fair"
35,"UPI","130",4,16,42,4,0,0,1,42,100,20,47.6190476190476,16,18.75,0,38.0952380952381,17.5,0,0,2,0,38.0952380952381,100,18.75,10,10,10,10,10,5,10,10,10,5,0,10,20,20,10,20,10,100,"Good",80,"Good"
36,"UPI","135",6,0,90,1,3,3,2,1,1.11111111111111,0,0,0,NA,23.3333333333333,0,0.625,89,55.625,0,93.3333333333333,0,1.11111111111111,0,5,0,5,5,5,NA,0,0,0,0,0,5,0,0,0,0,0,25,"Poor",0,"Very Poor"
