"HUC8","MEANT","pctrun","pctrock","pctShade","pctBrBnk","HAiFLS_dev","HAiFLS_for","ml.value","2.5 %","97.5 %"
"YEL",9.75951388888889,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,46.2414367400203,26.5745454691148,65.8508677499307
"YEL",10.0089942365835,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,45.4295536164192,26.1856391684171,64.5425861950302
"YEL",10.2584745842782,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,44.617670492818,25.7894644310139,63.2895783805734
"YEL",10.5079549319728,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,43.8057873692169,25.4777382147052,62.0175615046919
"YEL",10.7574352796674,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,42.9939042456158,25.0653160239659,60.768290971453
"YEL",11.0069156273621,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,42.1820211220146,24.7154374251848,59.5135400076045
"YEL",11.2563959750567,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,41.3701379984135,24.336094892139,58.2331271180459
"YEL",11.5058763227513,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,40.5582548748124,24.0165292419794,57.0045897177435
"YEL",11.755356670446,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,39.7463717512112,23.6660347691563,55.7580177923409
"YEL",12.0048370181406,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,38.9344886276101,23.2897705647895,54.476760534005
"YEL",12.2543173658352,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,38.1226055040089,22.8887700235866,53.259537811323
"YEL",12.5037977135299,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,37.3107223804078,22.4467288874664,52.0726492150912
"YEL",12.7532780612245,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,36.4988392568067,22.0047819109416,50.8399707160916
"YEL",13.0027584089191,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,35.6869561332055,21.5953842034004,49.6304345699257
"YEL",13.2522387566137,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,34.8750730096044,21.2422987152838,48.524398684687
"YEL",13.5017191043084,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,34.0631898860033,20.7752193682093,47.4113520648515
"YEL",13.751199452003,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,33.2513067624021,20.3482470253336,46.2714781782232
"YEL",14.0006797996976,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,32.439423638801,19.8610757997078,45.1158899539417
"YEL",14.2501601473923,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,31.6275405151998,19.4028113968536,43.9556369593441
"YEL",14.4996404950869,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,30.8156573915987,18.9013620859206,42.8597119040594
"YEL",14.7491208427815,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,30.0037742679976,18.4085126480232,41.6865107465348
"YEL",14.9986011904762,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,29.1918911443964,17.8453098883051,40.5539358169418
"YEL",15.2480815381708,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,28.3800080207953,17.4081876273811,39.4528561924275
"YEL",15.4975618858654,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,27.5681248971942,16.8781954896758,38.3486671228884
"YEL",15.7470422335601,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,26.756241773593,16.3134461202254,37.350228161682
"YEL",15.9965225812547,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,25.9443586499919,15.6567740318623,36.3010605964745
"YEL",16.2460029289493,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,25.1324755263907,15.0776624923661,35.2848987687914
"YEL",16.495483276644,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,24.3205924027896,14.3993944825797,34.2821568547298
"YEL",16.7449636243386,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,23.5087092791885,13.7852819892655,33.3956883150365
"YEL",16.9944439720332,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,22.6968261555873,13.0887584678122,32.5448410945977
"YEL",17.2439243197279,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,21.8849430319862,12.4176998263271,31.7574567631385
"YEL",17.4934046674225,0.44715817308985,69.805296560939,48.5153705348105,0.891246434724696,4.57741341318681,26.0818952307692,21.0730599083851,11.7140165678263,30.906134999284
