"newID","IBIScore","MEANT","pctrun","pctrock","pctShade","boulder","pctBrBnk","HAiFLS_dev","HAiFLS_for"
"UPI_1",45,17.421875,0.375,44.4444444444444,27.8219395866455,0.181818181818182,1.33333333333333,10.1226835,39.1816711
"UPI_8",0,21.9288194444444,0.695652173913043,66.6666666666667,21.4714714714715,0.0833333333333333,1.75,5.4927406,3.8072126
"UPI_10",25,18.4495601851852,0.782608695652174,29.1666666666667,2.70270270270269,0.416666666666667,1.875,6.0576077,0.0171744
"UPI_12",90,17.7402777777778,0.333333333333333,72.3404255319149,31.3063063063063,0.166666666666667,1.41666666666667,2.0984025,25.6601162
"UPI_13",15,18.66375,0.291666666666667,56.25,62.4624624624625,0,2.70833333333333,1.1858387,14.4057808
"UPI_16",55,18.7233796296296,0.833333333333333,38.8888888888889,21.4285714285714,0,1.375,0.8135203,0.4850812
"UPI_18",80,19.3814814814815,0.125,50,66.7417417417417,0.916666666666667,1.625,3.2313552,6.680882
"UPI_22",50,18.7746296296296,0.458333333333333,67.741935483871,3.60360360360362,0.166666666666667,0.791666666666667,3.7366495,0.0007945
"UPI_27",15,21.5668518518519,0.714285714285714,66.6666666666667,64.7147147147147,0.583333333333333,1.29166666666667,3.5147047,3.1386724
"UPI_34",60,16.6888657407407,0.333333333333333,85.7142857142857,71.8468468468468,0.833333333333333,1.04166666666667,0.3131506,35.5497017
"UPI_35",100,17.2473611111111,0.375,86.3636363636364,28.060413354531,0.916666666666667,0.625,5.8393698,18.2874947
"UPI_38",50,18.6836111111111,0.833333333333333,56.7567567567568,4.9694856146469,0,0.833333333333333,4.4644709,4.9718437
"UPI_48",20,18.699537037037,0.458333333333333,88.8888888888889,66.0660660660661,0.0833333333333333,1.08333333333333,1.4141521,14.5001488
"UPI_85",95,17.6680787037037,0.130434782608696,100,91.0810810810811,0.75,0.625,8.9017849,57.5264244
"UPI_86",25,14.5513657407407,0.333333333333333,90,35.7357357357357,0.416666666666667,1.66666666666667,1.2784119,16.0228348
"UPI_93",55,16.1285648148148,0.458333333333333,77.7777777777778,65.5405405405405,0,0.0454545454545455,0.4038334,57.9315987
"UPI_117",95,16.6258796296296,0.333333333333333,78.0487804878049,32.670906200318,0.416666666666667,0.291666666666667,0.1515671,64.0907898
"UPI_118",0,21.9840509259259,0.772727272727273,78.2608695652174,61.5615615615616,0,1.16666666666667,6.1513205,5.1532969
"UPI_123",20,18.4933101851852,0.521739130434783,93.1818181818182,88.79173290938,0.166666666666667,1.08333333333333,4.0334439,23.0814247
"UPI_128",70,18.5765277777778,0.791666666666667,16.2162162162162,47.3513513513513,0,1.25,0.9425466,1.4e-06
"UPI_130",100,18.2037731481481,0.208333333333333,54.0540540540541,90.990990990991,1.75,0.416666666666667,5.6553631,39.1104546
"UPI_135",25,19.2979166666667,0.416666666666667,23.3333333333333,5.85585585585585,0,0.583333333333333,1.6403922,4.3185711
"UPI_149",90,16.5852546296296,0.130434782608696,67.3913043478261,46.2462462462462,0.333333333333333,0.458333333333333,4.3490682,43.5465355
"UPI_154",65,18.4892592592593,0.208333333333333,97.2972972972973,10.6518282988871,0.416666666666667,0.25,9.89114,13.6107121
"UPI_156",100,10.7275925925926,0.25,85,97.2222222222222,0.75,0.583333333333333,0.0132505,54.1856232
"UPI_157",50,19.7186342592593,0.521739130434783,54.1666666666667,35.1351351351351,0.75,0.416666666666667,3.8053176,21.1315403
"UPI_163",100,18.1166898148148,0.375,91.1111111111111,72.8185328185328,0.666666666666667,0.5,5.204968,40.6095695
"UPI_170",80,19.8069907407407,0.458333333333333,66.6666666666667,95.4954954954955,0.833333333333333,0.625,0.0980898,69.2333908
"UPI_32b",35,20.1396759259259,0.91304347826087,81.5789473684211,7.05705705705707,0.25,0.416666666666667,6.3893757,2.6046841
"YEL_4",80,21.9464583333333,0.5,88.5714285714286,54.3243243243243,0.5,0.166666666666667,3.6826534,8.1076403
"YEL_20",40,20.9804166666667,0.166666666666667,86.9565217391304,93.4362934362934,1.08333333333333,0.708333333333333,4.8059058,19.3974342
"YEL_41",0,21.8590509259259,0.416666666666667,91.1764705882353,0,0,1.70833333333333,3.2514522,8.23351
"YEL_52",50,20.7306944444444,0.708333333333333,88.4615384615385,92.5675675675676,0.583333333333333,0.833333333333333,0.5134071,9.0536451
"YEL_65",10,20.635625,0.583333333333333,97.2222222222222,0,0.0909090909090909,1,5.3727636,4.9131527
"YEL_73",5,20.9844444444444,0.909090909090909,70.3703703703704,7.65765765765767,0.333333333333333,0.416666666666667,4.2284298,1.6613392
"YEL_77",0,21.5436805555556,0.347826086956522,93.5483870967742,5.93093093093093,0.25,0.5,10.9829483,3.0320177
"YEL_101",5,20.3228009259259,0.333333333333333,79.3103448275862,1.8018018018018,0.0833333333333333,1.39130434782609,3.0007019,0.0014899
"YEL_103",90,17.9855324074074,0.434782608695652,86.1111111111111,75.3378378378378,0.5,0.5,0.0716737,94.6966782
"YEL_105",70,16.532662037037,0.333333333333333,100,76.4982373678026,0.333333333333333,0,1.9648181,22.97715
"YEL_119",10,19.9325462962963,0.708333333333333,8.51063829787234,0.300300300300307,0.0833333333333333,0.833333333333333,3.8636642,69.4409866
"YEL_129",20,18.5566666666667,0.833333333333333,92,15.990990990991,0,0.0416666666666667,7.2053204,3.297807
"YEL_150",60,18.4219444444444,0.416666666666667,80,37.0656370656371,1.08333333333333,0.583333333333333,0.001422,59.7135811
"YEL_161",0,20.0139351851852,0.458333333333333,89.1891891891892,6.98198198198199,0.333333333333333,0.916666666666667,3.7898176,2.7802911
