HUC8,Site,SN18,MonthIn,DayIn,YearIn,DateOY
UPI,154,9345,4,30,2018,4/30/2018
YEL,73,4485,4,30,2018,4/30/2018
UPI,10,4605,5,20,2018,5/20/2018
UPI,11,4608,5,20,2018,5/20/2018
UPI,12,20351163,5,20,2018,5/20/2018
UPI,123,4599,5,20,2018,5/20/2018
UPI,130,4589,5,20,2018,5/20/2018
UPI,170,3221,5,20,2018,5/20/2018
UPI,18,4612,5,20,2018,5/20/2018
UPI,26,4606,5,20,2018,5/20/2018
UPI,27,4607,5,20,2018,5/20/2018
UPI,29,3219,5,20,2018,5/20/2018
UPI,32,4609,5,20,2018,5/20/2018
UPI,32b,4586,5,20,2018,5/20/2018
UPI,36,4600,5,20,2018,5/20/2018
UPI,48,4604,5,20,2018,5/20/2018
UPI,8,4611,5,20,2018,5/20/2018
UPI,96,3211,5,20,2018,5/20/2018
YEL,1,4587,5,20,2018,5/20/2018
YEL,113,3218,5,20,2018,5/20/2018
YEL,17,3208,5,20,2018,5/20/2018
YEL,52,4594,5,20,2018,5/20/2018
YEL,57,4597,5,20,2018,5/20/2018
YEL,41,3188,5,21,2018,5/21/2018
UPI,22,4603,6,4,2018,6/4/2018
UPI,38,3212,6,4,2018,6/4/2018
UPI,157,3214,6,5,2018,6/5/2018
UPI,163,3213,6,6,2018,6/6/2018
UPI,35,3223,6,6,2018,6/6/2018
