"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~avgT + pctpool + pctrock + BRT_100m","p(~effort)Psi(~avgT + pctpool + pctrock + BRT_100m)",7,161.666688461538,5.01259708749265,0.00838773830246826,146.80515
"~effort","~avgT + pctrock + BRT_100m + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + BRT_100m + BrBnk + HAiFLS_for)",8,161.750849069767,5.09675769572164,0.0080421029457,144.63457
"~effort","~avgT + pctpool + pctrock + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctrock + HAiFLS_for)",7,162.052378461538,5.39828708749266,0.00691661102580871,147.19084
"~effort","~avgT + pctrock + pctShade","p(~effort)Psi(~avgT + pctrock + pctShade)",6,162.077021374046,5.42293000000001,0.0068319111898714,149.4358
"~effort","~avgT + pctpool + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctShade + HAiFLS_for)",7,162.125568461538,5.47147708749264,0.00666807300583989,147.26403
"~effort","~avgT + pctpool + BRT_100m + BrBnk + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + BRT_100m + BrBnk + pctShade + HAiFLS_for)",9,162.13414,5.4800486259542,0.00663955633530653,142.72789
"~effort","~avgT + pctpool + pctrock + BRT_100m + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctrock + BRT_100m + BrBnk + HAiFLS_for)",9,162.21534,5.56124862595419,0.00637538922628405,142.80909
"~effort","~avgT + pctrock + BrBnk + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + BrBnk + pctShade + HAiFLS_for)",8,162.403119069767,5.74902769572165,0.005804048024691,145.28684
"~effort","~avgT + pctrock + BRT_100m + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + BRT_100m + HAiFLS_for)",7,162.427438461538,5.77334708749265,0.00573389991994517,147.5659
"~effort","~avgT + pctpool + pctrock + BrBnk + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctrock + BrBnk + pctShade + HAiFLS_for)",9,162.43126,5.7771686259542,0.00572295422108835,143.02501
"~effort","~avgT + pctpool + pctrock + BRT_100m + BrBnk + pctShade","p(~effort)Psi(~avgT + pctpool + pctrock + BRT_100m + BrBnk + pctShade)",9,162.69416,6.04006862595421,0.00501801854826763,143.28791
"~effort","~avgT + pctrock + BRT_100m + pctShade + BrBnk","p(~effort)Psi(~avgT + pctrock + BRT_100m + pctShade + BrBnk)",8,162.808749069767,6.15465769572162,0.00473859467367504,145.69247
"~effort","~avgT + pctpool + BRT_100m + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + BRT_100m + pctShade + HAiFLS_for)",8,162.895599069767,6.24150769572165,0.00453722508033889,145.77932
"~effort","~avgT + pctrock + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + pctShade + HAiFLS_for)",7,162.952828461538,6.29873708749264,0.00440923371467033,148.09129
"~effort","~avgT + pctpool + pctrock + BRT_100m + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctrock + BRT_100m + HAiFLS_for)",8,163.263199069767,6.60910769572163,0.0037754350058518,146.14692
"~effort","~avgT + pctpool + pctrock + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctrock + pctShade + HAiFLS_for)",8,163.269639069767,6.61554769572163,0.00376329765675209,146.15336
"~effort","~avgT + pctpool + pctrock + BRT_100m + pctShade","p(~effort)Psi(~avgT + pctpool + pctrock + BRT_100m + pctShade)",8,163.566039069767,6.91194769572164,0.00324493594188006,146.44976
"~effort","~avgT + pctrock + BRT_100m + BrBnk + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + BRT_100m + BrBnk + pctShade + HAiFLS_for)",9,163.8739,7.21980862595419,0.00278198623131192,144.46765
"~effort","~avgT + pctrock + BRT_100m + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + BRT_100m + pctShade + HAiFLS_for)",8,164.016999069767,7.36290769572165,0.00258989053256769,146.90072
