"HUC8","Site","avgT","sdT","MAXT","MEANT","RNGT"
"UPI","12",14.92754004004,1.57895903214278,20.6333333333333,17.7402777777778,5.27777777777777
"YEL","41",17.6083395895896,2.28004201780373,25.805,21.8590509259259,9.06388888888889
"YEL","129",15.5267774024024,1.60492438634075,21.0911111111111,18.5566666666667,4.96
"YEL","77",17.797088963964,2.32342474918846,23.7727777777778,21.5436805555556,6.86277777777779
"YEL","29",18.9616485235235,2.67744671814758,24.7377777777778,23.3497453703704,4.665
"UPI","85",13.9197491241241,1.71218186058134,20.2338888888889,17.6680787037037,6.86888888888889
"YEL","201",15.1415077577578,1.78105829958564,21.6638888888889,18.2513425925926,6.57277777777778
"YEL","193",16.4280086336336,2.32380833506328,23.1,19.7394212962963,6.48111111111111
"YEL","125",19.6995908408408,2.44555301254939,25.9022222222222,23.9355787037037,3.43166666666666
"YEL","20",17.6584553303303,2.34445270117714,23.7727777777778,20.9804166666667,6.32277777777778
"UPI","109",15.5147766516517,2.09942794302654,21.5688888888889,18.9732638888889,6.38166666666667
"UPI","135",15.859715965966,1.40355921084633,20.3288888888889,19.2979166666667,4.48222222222223
"UPI","128",16.0193712462462,1.60925215222828,21.1872222222222,18.5765277777778,7.07944444444444
"YEL","4",12.6945884773663,0.904749264614331,17.475,13.3723842592593,5.26777777777778
"UPI","118",17.9056412662663,2.36773499127652,23.5811111111111,21.9840509259259,4.09277777777778
"UPI","13",15.7792924174174,1.93001953105148,21.2822222222222,18.66375,5.83777777777778
"UPI","34",12.900777027027,1.40155822478327,20.615,16.6888657407407,7.82777777777778
"UPI","75",15.0499286786787,1.34543538016064,19.8527777777778,18.156087962963,4.48611111111111
"UPI","1",13.3717967967968,2.10005779988147,20.71,17.421875,8.69722222222221
"YEL","17",17.1538100600601,3.4542994759109,28.3572222222222,23.1765046296296,14.5872222222222
"UPI","14b",13.6783602352352,1.98476858324735,20.9961111111111,18.140162037037,8.595
"YEL","161",16.9123986486486,2.18313457899231,22.8122222222222,20.0139351851852,6.00944444444445
"UPI","96",18.0774868618619,2.61631699434759,24.9311111111111,22.2465046296296,6.95833333333333
"UPI","38",15.8816266266266,1.63650579709205,21.1872222222222,18.6836111111111,4.855
"UPI","163",14.7485241491491,1.51744517154701,20.9961111111111,18.1166898148148,6.76611111111112
"UPI","157",14.6140015015015,1.89131224092603,21.1872222222222,19.7186342592593,6.77111111111111
"UPI","57",16.3691647897898,1.82470840782433,21.9511111111111,18.8619444444444,7.48833333333333
"YEL","65",16.9411636636637,2.85895179758205,26.7811111111111,20.635625,16.4238888888889
"YEL","105",13.6240890890891,2.03481836546603,20.5188888888889,16.532662037037,6.98
"YEL","113",18.6619557057057,3.07847690766009,27.8622222222222,24.0832407407407,11.0888888888889
"UPI","29",16.431991991992,2.33461288826587,21.9511111111111,20.4719907407407,4.87722222222223
"YEL","25",15.4952784034034,1.73894182365422,21.2822222222222,18.6203009259259,5.45388888888889
"UPI","170",17.0161211211211,2.20136059419333,22.7172222222222,19.8069907407407,7.09722222222222
"UPI","57b",18.0705555555556,2.77810944267922,28.655,22.7606018518519,11.1266666666667
"UPI","35",14.3813607357357,1.4703248960873,20.9961111111111,17.2473611111111,7.05388888888889
"YEL","73",17.6376889389389,2.06140819437131,23.1,20.9844444444444,4.76333333333333
"UPI","32b",16.0572891641642,2.19976824977795,22.0461111111111,20.1396759259259,6.1261111111111
"YEL","1",17.5538863863864,2.6138696442159,23.8688888888889,22.05375,7.26333333333334
"YEL","40",17.4095651901902,3.04447443749466,27.37,22.7101157407407,14.6661111111111
"UPI","130",14.2829823573574,2.30493112895279,21.6638888888889,18.2037731481481,8.83
"UPI","14",15.0425475475475,1.89259148400547,20.9961111111111,18.7827083333333,7.43833333333334
"UPI","149",13.6347685185185,1.54186977375105,20.615,16.5852546296296,7.53888888888889
"UPI","61",14.3232864114114,1.87057389184525,21.1872222222222,17.9340277777778,7.43722222222222
"YEL","52",17.2373154404404,2.23885328860713,22.6211111111111,20.7306944444444,5.23611111111111
"YEL","178",15.2459340590591,1.99401110901348,21.6638888888889,18.0572222222222,6.57277777777778
"YEL","103",15.3317173423423,1.36823099504039,21.4727777777778,17.9855324074074,6.19055555555556
"YEL","57",19.8336949449449,2.3295812895392,26.0972222222222,23.8886111111111,4.49055555555556
"UPI","201",12.1893931431431,1.09751001660127,17.855,14.2394444444444,5.45388888888889
"UPI","123",16.3093812562563,1.76082646193506,21.1872222222222,18.4933101851852,5.72444444444444
"UPI","36",15.6311918168168,1.46016678496371,20.3288888888889,18.2514351851852,4.665
"UPI","16",15.9637212212212,1.79256535264052,21.9511111111111,18.7233796296296,6.77
"YEL","203",11.298348973974,0.910280571424787,18.4261111111111,13.3194907407407,7.58
"UPI","22",15.4286361361361,1.62945915890565,21.3777777777778,18.7746296296296,5.90500000000001
