"Watershed","meanT_Cx","minT_Cx","maxT_Cx","sdT_Cx"
"LMAQ",15.0626834519476,10.3572222222222,35.5422222222222,0.885207158428276
"UPI",16.1605184015169,8.48111111111111,41.4577777777778,1.17116794684587
"YEL",16.8050928446461,8.68,46.083,0.545574595969833
