"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
51,"YEL","20",6,72,173,1,2,3,2,72,41.6184971098266,0,0,72,0,0,41.6184971098266,24,101,33.6666666666667,5,0,5,5,5,0,0,0,10,5,0,5,40,"Fair"
58,"YEL","41",12,5,318,0,4,6,4,0,0,0,0,0,NA,15.0943396226415,1.57232704402516,0,318,106,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
59,"YEL","52",6,1,26,2,3,4,0,13,50,0,0,1,0,0,3.84615384615385,13,13,13,5,5,0,10,5,0,0,5,10,0,0,10,50,"Fair"
62,"YEL","65",9,16,84,1,4,6,3,16,19.047619047619,0,0,16,0,10.7142857142857,19.047619047619,11.1111111111111,68,47.2222222222222,5,0,0,0,0,0,0,0,0,0,0,5,10,"Poor"
63,"YEL","73",13,3,155,1,3,7,4,2,1.29032258064516,0,0,2,0,25.1612903225806,1.93548387096774,0.833333333333333,153,63.75,0,0,0,0,5,0,0,0,0,0,0,0,5,"Very Poor"
64,"YEL","77",12,4,279,1,5,8,4,4,1.4336917562724,0,0,4,0,17.2043010752688,1.4336917562724,3.57142857142857,275,245.535714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
67,"YEL","101",9,0,311,1,4,5,3,7,2.2508038585209,0,0,0,NA,2.2508038585209,0,6.36363636363636,304,276.363636363636,5,0,0,0,0,NA,0,0,0,0,0,0,5,"Very Poor"
68,"YEL","103",4,43,64,3,1,1,0,43,67.1875,37,57.8125,43,86.046511627907,0,67.1875,20.6730769230769,21,10.0961538461538,10,5,10,10,10,5,10,5,10,5,0,10,90,"Good"
69,"YEL","105",2,0,30,1,1,1,0,29,96.6666666666667,0,0,0,NA,0,0,29,1,1,10,0,10,10,10,NA,0,10,10,0,0,10,70,"Good"
71,"YEL","119",8,15,314,1,4,5,2,3,0.955414012738854,0,0,0,NA,24.5222929936306,4.77707006369427,1.25,311,129.583333333333,5,0,0,5,0,NA,0,0,0,0,0,0,10,"Poor"
73,"YEL","129",7,0,42,1,3,4,2,12,28.5714285714286,0,0,0,NA,14.2857142857143,0,10,30,25,5,0,0,5,5,NA,0,0,0,0,0,5,20,"Poor"
74,"YEL","150",2,0,44,1,1,1,0,22,50,0,0,0,NA,0,0,22,22,22,10,0,10,10,10,NA,0,5,10,0,0,5,60,"Fair"
75,"YEL","161",10,8,526,1,4,6,4,8,1.52091254752852,0,0,8,0,41.8250950570342,1.52091254752852,3.7037037037037,518,239.814814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
76,"YEL","178",9,166,213,4,3,2,4,175,82.1596244131455,8,3.75586854460094,166,0,3.75586854460094,77.9342723004695,58.3333333333333,38,12.6666666666667,5,10,5,0,5,0,0,5,0,10,5,10,55,"Fair"
77,"YEL","193",8,190,594,1,2,2,3,187,31.4814814814815,0,0,187,0,60.4377104377104,31.986531986532,62.3333333333333,407,135.666666666667,5,0,5,0,5,0,0,0,0,5,5,0,25,"Poor"
78,"YEL","201",5,101,115,3,1,0,3,107,93.0434782608696,5,4.34782608695652,101,0,6.08695652173913,87.8260869565217,44.5833333333333,8,3.33333333333333,5,5,10,0,10,0,0,10,0,10,5,10,65,"Fair"
79,"YEL","202",6,0,58,1,3,4,1,5,8.62068965517241,0,0,0,NA,0,0,5,53,53,5,0,0,10,5,NA,0,0,10,0,0,5,35,"Fair"
80,"YEL","203",4,37,70,2,2,2,0,56,80,0,0,37,0,0,52.8571428571429,18.6666666666667,14,4.66666666666667,10,5,5,10,5,0,0,5,10,5,0,10,65,"Fair"
81,"YEL","204",3,158,274,2,1,0,1,158,57.6642335766423,0,0,158,0,42.3357664233577,57.6642335766423,52.6666666666667,116,38.6666666666667,10,5,10,10,10,0,0,5,0,5,5,5,65,"Fair"
82,"LMAQ","5",8,2,453,2,3,4,2,40,8.83002207505519,0,0,2,0,0.22075055187638,0.441501103752759,17.0940170940171,413,176.495726495727,5,5,0,5,5,0,0,0,5,0,0,0,25,"Poor"
87,"LMAQ","24",5,100,110,2,2,2,1,100,90.9090909090909,72,65.4545454545455,100,72,0,90.9090909090909,50,10,5,5,5,5,10,5,5,10,10,10,10,5,10,90,"Good"
90,"UPI","25",10,8,209,2,4,5,2,43,20.5741626794258,7,3.34928229665072,7,100,25.8373205741627,3.82775119617225,16.5384615384615,166,63.8461538461538,0,5,0,5,0,10,0,0,0,0,0,0,20,"Poor"
91,"UPI","28",11,9,173,3,3,4,5,7,4.04624277456647,2,1.15606936416185,5,0,26.0115606936416,5.20231213872832,2.33333333333333,166,55.3333333333333,0,5,0,0,5,0,0,0,0,0,0,5,15,"Poor"
92,"UPI","70",7,2,194,3,3,2,3,128,65.979381443299,2,1.03092783505155,2,0,4.12371134020619,1.03092783505155,71.1111111111111,66,36.6666666666667,5,5,5,0,5,0,0,5,0,0,5,5,35,"Fair"
93,"UPI","73",4,82,327,4,0,0,1,327,100,276,84.4036697247707,82,40.2439024390244,0,25.0764525993884,140.948275862069,0,0,10,10,10,10,10,5,10,10,10,0,10,10,105,"Excellent"
