"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~avgT + avdep + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~avgT + avdep + pctrun + pctBrBnk + Area_km2)",8,378.188269069767,21.34736,5.95144142929146e-06,361.07199
"~effort","~avgT + pctrun + Area_km2","p(~effort)Psi(~avgT + pctrun + Area_km2)",6,378.360651374046,21.5197423042784,5.45996453930336e-06,365.71943
"~effort","~pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~pctBrBnk + HAiFLS_for + Area_km2)",6,378.676101374046,21.8351923042784,4.6632717548586e-06,366.03488
"~effort","~avgT + mFlow + HAiFLS_for","p(~effort)Psi(~avgT + mFlow + HAiFLS_for)",6,379.009001374046,22.1680923042784,3.94822967578246e-06,366.36778
"~effort","~mFlow + HAiFLS_for","p(~effort)Psi(~mFlow + HAiFLS_for)",5,379.771885454545,22.930976384778,2.69615114685698e-06,369.31734
"~effort","~pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~pctrun + HAiFLS_for + Area_km2)",6,380.480691374046,23.6397823042784,1.89159860648726e-06,367.83947
"~effort","~avgT + pctBrBnk + Area_km2","p(~effort)Psi(~avgT + pctBrBnk + Area_km2)",6,380.594591374046,23.7536823042784,1.78688216718463e-06,367.95337
"~effort","~avgT + Area_km2","p(~effort)Psi(~avgT + Area_km2)",5,381.000605454545,24.159696384778,1.45858276424107e-06,370.54606
"~effort","~avgT + mFlow + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avgT + mFlow + pctBrBnk + HAiFLS_for)",7,381.172418461538,24.3315093917711,1.33851227059173e-06,366.31088
"~effort","~HAiFLS_for + Area_km2","p(~effort)Psi(~HAiFLS_for + Area_km2)",5,381.204735454545,24.363826384778,1.31705772812992e-06,370.75019
"~effort","~pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~pctrun + pctBrBnk + Area_km2)",6,382.472921374046,25.6320123042784,6.98588991346765e-07,369.8317
"~effort","~avgT + avdep + mFlow + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avgT + avdep + mFlow + pctBrBnk + HAiFLS_for)",8,383.177459069767,26.33655,4.91171682837141e-07,366.06118
"~effort","~pctrun + Area_km2","p(~effort)Psi(~pctrun + Area_km2)",5,387.336875454545,30.4959663847781,6.13800911274768e-08,376.88233
"~effort","~avgT + mFlow","p(~effort)Psi(~avgT + mFlow)",5,387.545395454545,30.704486384778,5.53029102560349e-08,377.09085
"~effort","~mFlow + pctBrBnk + Area_km2","p(~effort)Psi(~mFlow + pctBrBnk + Area_km2)",6,388.929831374046,32.0889223042784,2.76771613770834e-08,376.28861
"~effort","~avgT + mFlow + pctBrBnk","p(~effort)Psi(~avgT + mFlow + pctBrBnk)",6,389.457621374046,32.6167123042784,2.12575595169799e-08,376.8164
"~effort","~pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~pctrun + pctBrBnk + HAiFLS_for)",6,389.942011374046,33.1011023042784,1.66851245019562e-08,377.30079
"~effort","~pctrun + HAiFLS_for","p(~effort)Psi(~pctrun + HAiFLS_for)",5,390.053065454545,33.212156384778,1.57839015888763e-08,379.59852
"~effort","~avgT + pctrun + HAiFLS_for","p(~effort)Psi(~avgT + pctrun + HAiFLS_for)",6,390.359551374046,33.5186423042784,1.35413446781394e-08,377.71833
"~effort","~avgT + HAiFLS_for","p(~effort)Psi(~avgT + HAiFLS_for)",5,390.510645454545,33.669736384778,1.2556023791825e-08,380.0561
"~effort","~mFlow + Area_km2","p(~effort)Psi(~mFlow + Area_km2)",5,390.683915454545,33.8430063847781,1.15140212730711e-08,380.22937
"~effort","~HAiFLS_for","p(~effort)Psi(~HAiFLS_for)",4,390.684871879699,33.8439628099318,1.15085164396329e-08,382.38412
"~effort","~pctBrBnk + Area_km2","p(~effort)Psi(~pctBrBnk + Area_km2)",5,390.693095454545,33.852186384778,1.14612930193439e-08,380.23855
"~effort","~pctBrBnk + HAiFLS_for","p(~effort)Psi(~pctBrBnk + HAiFLS_for)",5,391.136415454545,34.295506384778,9.18264724369996e-09,380.68187
"~effort","~avgT + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctrun + pctBrBnk + HAiFLS_for)",7,391.140038461538,34.2991293917711,9.16602790365169e-09,376.2785
"~effort","~avgT + avdep + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avgT + avdep + pctrun + pctBrBnk + HAiFLS_for)",8,391.583099069767,34.74219,7.34466152521241e-09,374.46682
"~effort","~avgT + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctBrBnk + HAiFLS_for)",6,391.800001374046,34.9590923042784,6.58979719962926e-09,379.15878
"~effort","~avdep + HAiFLS_for","p(~effort)Psi(~avdep + HAiFLS_for)",5,392.069355454545,35.228446384778,5.75947044491674e-09,381.61481
"~effort","~avgT + pctrun","p(~effort)Psi(~avgT + pctrun)",5,392.139665454545,35.298756384778,5.5605139099318e-09,381.68512
