"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~MEANT2 + mFlow + Area_km2","p(~effort)Psi(~MEANT2 + mFlow + Area_km2)",6,387.727871374046,25.8803123042784,2.59286112148577e-07,375.08665
"~effort","~MEANT + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,387.77986,25.9323009302325,2.52632994040131e-07,368.37361
"~effort","~MEANT + mFlow + Area_km2","p(~effort)Psi(~MEANT + mFlow + Area_km2)",6,387.794851374046,25.9472923042784,2.50746415618996e-07,375.15363
"~effort","~MEANT2 + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT2 + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,387.80562,25.9580609302325,2.49399946597673e-07,368.39937
"~1","~MEANT2 + avdep + mFlow + pctBrBnk + HAiFLS_for","p(~1)Psi(~MEANT2 + avdep + mFlow + pctBrBnk + HAiFLS_for)",7,388.058538461538,26.210979391771,2.19773745663307e-07,373.197
"~1","~MEANT + avdep + mFlow + pctBrBnk + HAiFLS_for","p(~1)Psi(~MEANT + avdep + mFlow + pctBrBnk + HAiFLS_for)",7,388.122808461539,26.2752493917711,2.12823586119542e-07,373.26127
"~effort","~MEANT2 + mFlow + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT2 + mFlow + pctBrBnk + Area_km2)",7,388.502798461538,26.655239391771,1.75997288444382e-07,373.64126
"~effort","~MEANT + mFlow + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT + mFlow + pctBrBnk + Area_km2)",7,388.512918461539,26.6653593917711,1.75108991451542e-07,373.65138
"~1","~MEANT + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",7,388.708468461538,26.860909391771,1.58798100690378e-07,373.84693
"~1","~pctrun + HAiFLS_for + Area_km2","p(~1)Psi(~pctrun + HAiFLS_for + Area_km2)",5,388.719015454545,26.871456384778,1.57962883654284e-07,378.26447
"~1","~MEANT2 + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT2 + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",7,388.755028461538,26.907469391771,1.55143979902573e-07,373.89349
"~1","~pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~pctBrBnk + HAiFLS_for + Area_km2)",5,388.877035454545,27.029476384778,1.45962551444223e-07,378.42249
"~effort","~MEANT + avdep + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + avdep + pctrun + HAiFLS_for + Area_km2)",8,388.894059069767,27.0465,1.44725418874399e-07,371.77778
"~effort","~MEANT2 + avdep + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT2 + avdep + pctrun + HAiFLS_for + Area_km2)",8,388.908149069767,27.06059,1.43709411387008e-07,371.79187
"~effort","~MEANT + pctrun + Area_km2","p(~effort)Psi(~MEANT + pctrun + Area_km2)",6,389.286851374046,27.4392923042784,1.18918945656375e-07,376.64563
"~effort","~MEANT2 + pctrun + Area_km2","p(~effort)Psi(~MEANT2 + pctrun + Area_km2)",6,389.338081374046,27.4905223042784,1.15911518917673e-07,376.69686
"~effort","~MEANT + avdep + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + avdep + pctBrBnk + HAiFLS_for + Area_km2)",8,389.543409069767,27.69585,1.0460206405118e-07,372.42713
"~effort","~MEANT2 + avdep + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT2 + avdep + pctBrBnk + HAiFLS_for + Area_km2)",8,389.586909069767,27.73935,1.02351532409149e-07,372.47063
"~1","~HAiFLS_for + Area_km2","p(~1)Psi(~HAiFLS_for + Area_km2)",4,389.793131879699,27.9455728099318,9.23237922615911e-08,381.49238
"~1","~MEANT + pctrun + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT + pctrun + HAiFLS_for + Area_km2)",6,389.869521374046,28.0219623042784,8.88640018639585e-08,377.2283
