"","df","logLik","AICc","delta","weight"
"cott.full.mod",9,-136.800051229949,292.995451297108,0,0.973029735724424
"cott.env.mod",7,-142.656622242055,300.168206316171,7.17275501906249,0.0269514509111872
"cott.null.mod",3,-154.489597707894,315.156973193566,22.1615218964581,1.49903846667052e-05
"cott.brt.mod",5,-153.719301509826,317.889730839201,24.8942795420925,3.82297972212971e-06
