"newID","HUC8","HUC_10","HUC_12","BRT","BRT_ab","BKT","BKT_ab","LND","LND_ab","SRD","SRD_ab","Cottus","Cottus_ab","LND_CPUE","SRD_CPUE","Cottus_CPUE","BRT_CPUE","SegLen","avwid","avdep","pctfines","pctcbbl","pctrock","mFlow","pctriffle","pctrun","pctpool","BrBank","Canopy","MEANT","HAiFLS_alt","HAiFLS_for"
"UPI_1","UPI",706000206,70600020603,"1",14,"0",0,"0",0,"0",0,"0",0,0,0,0,4.86111111111111,288,3.125,0.332666666666667,53.3333333333333,42.2222222222222,44.4444444444444,0.175111111111111,50,0.375,20.8333333333333,1.33333333333333,27.8219395866455,17.421875,58.6448364,39.1816711
"UPI_8","UPI",706000202,70600020207,"0",0,"0",0,"1",2,"1",1,"0",0,0.444444444444444,0.222222222222222,0,0,450,6.91666666666667,0.36051724137931,31.5789473684211,57.8947368421053,66.6666666666667,0.302931034482759,20.8333333333333,0.695652173913043,4.16666666666667,1.75,21.4714714714715,21.9288194444444,86.0427628,3.8072126
"UPI_10","UPI",706000203,70600020302,"1",1,"0",0,"0",0,"0",0,"0",0,0,0,0,0.222222222222222,450,3.825,0.462083333333333,70.8333333333333,18.0555555555556,29.1666666666667,0.319154929577465,4.16666666666667,0.782608695652174,4.16666666666667,1.875,2.70270270270269,18.4495601851852,90.6259918,0.0171744
"UPI_11","UPI",706000204,70600020405,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,150,2.10416666666667,0.107878787878788,12.1212121212121,87.8787878787879,87.8787878787879,0.333939393939394,83.3333333333333,0.166666666666667,0,0.416666666666667,88.963963963964,16.7671759259259,38.6119499,61.3778419
"UPI_12","UPI",706000202,70600020208,"1",4,"1",1,"0",0,"0",0,"0",0,0,0,0,2.66666666666667,150,2.05833333333333,0.183541666666667,27.6595744680851,65.9574468085106,72.3404255319149,0.114375,41.6666666666667,0.333333333333333,25,1.41666666666667,31.3063063063063,17.7402777777778,69.1975632,25.6601162
"UPI_13","UPI",706000202,70600020204,"0",0,"0",0,"0",0,"1",1,"0",0,0,0.222222222222222,0,0,450,3.65833333333333,0.439375,43.75,50,56.25,0.168125,25,0.291666666666667,37.5,2.70833333333333,62.4624624624625,18.66375,81.7649384,14.4057808
"UPI_14","UPI",706000206,70600020606,"1",2,"0",0,"0",0,"0",0,"0",0,0,0,0,0.666666666666667,300,2.575,0.240212765957447,47.8260869565217,28.2608695652174,52.1739130434783,0.243191489361702,29.1666666666667,0.583333333333333,4.16666666666667,0.583333333333333,18.3183183183183,18.7827083333333,25.2236767,72.1483536
"UPI_16","UPI",706000204,70600020405,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,150,1.5375,0.282222222222222,61.1111111111111,36.1111111111111,38.8888888888889,0.23,12.5,0.833333333333333,0,1.375,21.4285714285714,18.7233796296296,98.2360916,0.4850812
"UPI_18","UPI",706000205,70600020503,"1",2,"0",0,"0",0,"0",0,"1",9,0,0,2.63157894736842,0.584795321637427,342,2.9,0.159166666666667,50,43.75,50,0.0664583333333333,29.1666666666667,0.125,58.3333333333333,1.625,66.7417417417417,19.3814814814815,85.1287079,6.680882
"UPI_22","UPI",706000202,70600020205,"1",41,"0",0,"0",0,"0",0,"0",0,0,0,0,11.3888888888889,360,2.18333333333333,0.260322580645161,32.258064516129,41.9354838709677,67.741935483871,0.268387096774193,37.5,0.458333333333333,0,0.791666666666667,3.60360360360362,18.7746296296296,97.8261032,0.0007945
