"IBIScore","HUC8","MEANT","pctrun","pctrock","pctShade","pctBrBnk","HAiFLS_dev","HAiFLS_for","watershed_sm","estimate","2.5 %","97.5 %"
45,"UPI",17.421875,0.375,44.4444444444444,27.8219395866455,1.33333333333333,10.1226835,39.1816711,"UPI_206_03",49.8659486315676,37.7189403010608,62.3836381172595
0,"UPI",21.9288194444444,0.695652173913043,66.6666666666667,21.4714714714715,1.75,5.4927406,3.8072126,"UPI_202_07",9.70890739130467,-5.09161568764257,24.5940971258831
25,"UPI",18.4495601851852,0.782608695652174,29.1666666666667,2.70270270270269,1.875,6.0576077,0.0171744,"UPI_203_02",23.8945357626537,8.21320036563666,40.1028251566538
90,"UPI",17.7402777777778,0.333333333333333,72.3404255319149,31.3063063063063,1.41666666666667,2.0984025,25.6601162,"UPI_202_08",43.9952213705155,32.4713719511528,55.819226357042
15,"UPI",18.66375,0.291666666666667,56.25,62.4624624624625,2.70833333333333,1.1858387,14.4057808,"UPI_202_04",30.2396490958376,11.8589121745732,48.6584020155041
55,"UPI",18.7233796296296,0.833333333333333,38.8888888888889,21.4285714285714,1.375,0.8135203,0.4850812,"UPI_204_05",29.7513286522601,15.7308238299577,43.9179605300208
80,"UPI",19.3814814814815,0.125,50,66.7417417417417,1.625,3.2313552,6.680882,"UPI_205_03",45.1265786553586,29.5929259582984,60.8100503614627
50,"UPI",18.7746296296296,0.458333333333333,67.741935483871,3.60360360360362,0.791666666666667,3.7366495,0.0007945,"UPI_202_05",38.697959423822,25.9770035116074,51.2902765781034
15,"UPI",21.5668518518519,0.714285714285714,66.6666666666667,64.7147147147147,1.29166666666667,3.5147047,3.1386724,"UPI_204_06",25.5066878607155,10.3389331935363,40.6195327663955
60,"UPI",16.6888657407407,0.333333333333333,85.7142857142857,71.8468468468468,1.04166666666667,0.3131506,35.5497017,"UPI_203_02",61.4685298027887,50.769221880154,72.268123712374
100,"UPI",17.2473611111111,0.375,86.3636363636364,28.060413354531,0.625,5.8393698,18.2874947,"UPI_205_02",55.048335677441,43.7218750336799,66.630878106315
50,"UPI",18.6836111111111,0.833333333333333,56.7567567567568,4.9694856146469,0.833333333333333,4.4644709,4.9718437,"UPI_202_05",33.2857714207271,19.9654900592135,46.6839373896601
20,"UPI",18.699537037037,0.458333333333333,88.8888888888889,66.0660660660661,1.08333333333333,1.4141521,14.5001488,"UPI_204_03",46.3065857769174,34.8299094906605,57.8593043773338
95,"UPI",17.6680787037037,0.130434782608696,100,91.0810810810811,0.625,8.9017849,57.5264244,"UPI_206_04",71.0586231396934,55.6738013247918,86.588974183767
25,"UPI",14.5513657407407,0.333333333333333,90,35.7357357357357,1.66666666666667,1.2784119,16.0228348,"UPI_203_01",56.5940886591329,39.7739790283454,73.6952673376683
55,"UPI",16.1285648148148,0.458333333333333,77.7777777777778,65.5405405405405,0.0454545454545455,0.4038334,57.9315987,"UPI_206_02",75.0300021078228,61.5744319116776,88.0017042550494
95,"UPI",16.6258796296296,0.333333333333333,78.0487804878049,32.670906200318,0.291666666666667,0.1515671,64.0907898,"UPI_206_04",64.887666184287,51.5722775585272,77.8185413394849
0,"UPI",21.9840509259259,0.772727272727273,78.2608695652174,61.5615615615616,1.16666666666667,6.1513205,5.1532969,"UPI_202_05",23.0616318302622,7.01456937191309,39.3571153016781
20,"UPI",18.4933101851852,0.521739130434783,93.1818181818182,88.79173290938,1.08333333333333,4.0334439,23.0814247,"UPI_204_05",51.4765204010562,37.6318975627478,64.9967809574711
70,"UPI",18.5765277777778,0.791666666666667,16.2162162162162,47.3513513513513,1.25,0.9425466,1.4e-06,"UPI_204_03",39.9502555445955,23.3957613000797,56.3962974338426
100,"UPI",18.2037731481481,0.208333333333333,54.0540540540541,90.990990990991,0.416666666666667,5.6553631,39.1104546,"UPI_205_03",71.6489848927497,56.1439174431299,86.7585518360043
25,"UPI",19.2979166666667,0.416666666666667,23.3333333333333,5.85585585585585,0.583333333333333,1.6403922,4.3185711,"UPI_202_07",42.8591947795722,26.3804797046481,59.2046939502598
90,"UPI",16.5852546296296,0.130434782608696,67.3913043478261,46.2462462462462,0.458333333333333,4.3490682,43.5465355,"UPI_206_02",70.6758743405865,58.0106012401408,83.3282187814198
65,"UPI",18.4892592592593,0.208333333333333,97.2972972972973,10.6518282988871,0.25,9.89114,13.6107121,"UPI_203_02",52.8791710664691,37.711136024741,68.3403374249972
100,"UPI",10.7275925925926,0.25,85,97.2222222222222,0.583333333333333,0.0132505,54.1856232,"UPI_202_08",105.985511771129,87.7443471792375,124.412308225112
50,"UPI",19.7186342592593,0.521739130434783,54.1666666666667,35.1351351351351,0.416666666666667,3.8053176,21.1315403,"UPI_205_01",45.5593112281937,33.5082067900969,57.2340962942694
100,"UPI",18.1166898148148,0.375,91.1111111111111,72.8185328185328,0.5,5.204968,40.6095695,"UPI_205_02",61.3767215313308,49.1365835182412,73.4049521675643
80,"UPI",19.8069907407407,0.458333333333333,66.6666666666667,95.4954954954955,0.625,0.0980898,69.2333908,"UPI_205_03",55.4256659045264,38.2223182910296,71.9124658962485
35,"UPI",20.1396759259259,0.91304347826087,81.5789473684211,7.05705705705707,0.416666666666667,6.3893757,2.6046841,"UPI_204_06",28.4992692482496,11.7494832188087,44.7944756340623
80,"YEL",13.3723842592593,0.5,88.5714285714286,54.3243243243243,0.166666666666667,3.6826534,8.1076403,"YEL_110_02",72.2408469612643,55.034838059028,89.3732260480373
40,"YEL",20.9804166666667,0.166666666666667,86.9565217391304,93.4362934362934,0.708333333333333,4.8059058,19.3974342,"YEL_109_05",40.0097047441844,23.5644796500052,56.3588960488469
0,"YEL",21.8590509259259,0.416666666666667,91.1764705882353,0,1.70833333333333,3.2514522,8.23351,"YEL_109_01",-2.21222205620581,-20.3247063329459,16.0923466589813
50,"YEL",20.7306944444444,0.708333333333333,88.4615384615385,92.5675675675676,0.833333333333333,0.5134071,9.0536451,"YEL_109_04",28.1784074497196,10.1446399868246,46.2785406275853
10,"YEL",20.635625,0.583333333333333,97.2222222222222,0,1,5.3727636,4.9131527,"YEL_109_01",10.3231483326018,-5.53794235145961,26.3592127807545
5,"YEL",20.9844444444444,0.909090909090909,70.3703703703704,7.65765765765767,0.416666666666667,4.2284298,1.6613392,"YEL_109_01",13.3456903875157,-3.76896206474844,30.3901060055247
0,"YEL",21.5436805555556,0.347826086956522,93.5483870967742,5.93093093093093,0.5,10.9829483,3.0320177,"YEL_108_01",19.1448548351644,3.32874343058436,35.1344876850055
5,"YEL",20.3228009259259,0.333333333333333,79.3103448275862,1.8018018018018,1.39130434782609,3.0007019,0.0014899,"YEL_109_01",12.4469956095357,-3.73798002019721,29.1199126398477
90,"YEL",17.9855324074074,0.434782608695652,86.1111111111111,75.3378378378378,0.5,0.0716737,94.6966782,"YEL_107_02",51.0094127200408,32.3141248173145,69.8937986172055
70,"YEL",16.532662037037,0.333333333333333,100,76.4982373678026,0,1.9648181,22.97715,"YEL_109_02",64.4555638620441,49.3635900636541,79.5509483072682
10,"YEL",19.9325462962963,0.708333333333333,8.51063829787234,0.300300300300307,0.833333333333333,3.8636642,69.4409866,"YEL_110_01",22.3290073792919,0.436159876199814,44.7581530483688
20,"YEL",18.5566666666667,0.833333333333333,92,15.990990990991,0.0416666666666667,7.2053204,3.297807,"YEL_109_04",33.1853511158358,15.7156358325493,50.375196738209
60,"YEL",18.4219444444444,0.416666666666667,80,37.0656370656371,0.583333333333333,0.001422,59.7135811,"YEL_110_01",39.5497765127686,25.93675484034,53.6050253557056
0,"YEL",20.0139351851852,0.458333333333333,89.1891891891892,6.98198198198199,0.916666666666667,3.7898176,2.7802911,"YEL_109_04",18.5168650485306,3.9241800835008,33.1583928103398
55,"YEL",18.0572222222222,0.5,75,44.7993447993448,0.5,3.4651558,60.1216202,"YEL_106_02",43.8886014597456,30.4109356902029,57.6898574844071
25,"YEL",19.7394212962963,0.291666666666667,82.2222222222222,40.4654654654655,0.791666666666667,7.0217752,16.8383675,"YEL_109_02",33.2208211196453,21.1054960874761,45.7227223988715
65,"YEL",18.2513425925926,0.416666666666667,65.7894736842105,10.731319554849,0.625,3.8850839,55.9356232,"YEL_106_01",36.4944769588773,22.3224583146654,51.3285097501995
35,"YEL",17.9342592592593,0.166666666666667,54.1666666666667,11.4864864864865,0.583333333333333,1.192233,1.5149685,"YEL_109_01",41.9710204653444,24.6485732740375,59.584434341242
65,"YEL",13.3194907407407,0.5,87.2340425531915,39.1891891891892,1.45833333333333,8.1411123,5.0032735,"YEL_109_02",53.8853778042825,34.421708876976,73.2628538083393
65,"YEL",13.6253240740741,0.25,75,65.6156156156156,0.916666666666667,0,12.9460535,"YEL_109_03",68.3192751818666,52.5749472829147,84.4310452951318
25,"LMAQ",20.3291666666667,0.208333333333333,80.5555555555556,90.015015015015,1.25,4.8554339,47.939209,"LMAQ_307_03",31.4593085448069,8.60069278265603,54.2571713031268
20,"LMAQ",19.20675,0.416666666666667,38.2352941176471,56.3063063063063,0.416666666666667,4.9226065,1.7467092,"LMAQ_307_03",39.3410520138601,11.8795159930185,65.9579510914802
90,"LMAQ",18.2475462962963,0.333333333333333,92.5,92.1171171171171,0.833333333333333,0.0629215,58.1847878,"LMAQ_307_01",44.1239498242806,22.2257677590843,65.9241049422301
20,"UPI",14.487662037037,0.916666666666667,53.1914893617021,3.30330330330331,0.0833333333333333,5.5542722,0.3393331,"UPI_202_02",63.6068556681112,45.5342502920891,81.6065460575922
15,"UPI",18.1602546296296,0.333333333333333,89.3617021276596,59.8348348348348,0.625,4.277864,12.1601791,"UPI_204_01",56.6826614095986,45.1085677182808,68.3685882605316
35,"UPI",18.287037037037,0.291666666666667,53.4883720930233,82.1321321321321,0.75,3.832931,62.1048622,"UPI_206_05",63.8515545663082,49.531087149995,77.7122808162786
105,"UPI",13.6711111111111,0.375,83.3333333333333,41.6666666666667,0.375,1.3671564,40.6795349,"UPI_206_04",79.6387271630817,66.3221786512253,92.9994143527576
20,"UPI",19.4758796296296,0.791666666666667,23.4042553191489,11.2612612612613,1.16666666666667,3.7942924,74.7585602,"UPI_206_06",31.3366410888046,12.0267468763596,50.8090417441477
85,"UPI",20.6827083333333,0.25,91.6666666666667,92.1921921921922,0.791666666666667,2.3278322,13.1353903,"UPI_204_06",48.7393341136349,33.5230515557529,64.0533352958327
90,"UPI",9.75951388888889,0.166666666666667,25,38.2882882882883,0.25,0,99.8813248,"UPI_202_03",110.831335809868,85.9461004107897,135.566960675058
40,"YEL",21.1086111111111,0.25,37.7777777777778,10.6606606606607,0.708333333333333,72.0936813,0,"YEL_109_05",41.2146726346138,2.51176659706863,80.1734737586269
0,"YEL",20.6140277777778,0.291666666666667,70.8333333333333,28.7537537537538,0.875,1.3526219,1.7673345,"YEL_109_01",24.1317106688112,9.59520831056687,39.0873622401668
35,"YEL",18.6837268518519,0.291666666666667,93.75,72.8228228228228,0.833333333333333,7.3256741,9.9703712,"YEL_109_05",43.8331898639092,30.504311043643,57.1674512121716
85,"YEL",16.9754398148148,0.333333333333333,95.8333333333333,61.4114114114114,0.583333333333333,3.4711418,14.0129747,"YEL_110_02",51.9430321352169,39.1288160790066,64.9526413411233
60,"YEL",16.9736111111111,0.75,26.0869565217391,13.1756756756757,0.625,1.2841163,0.2349563,"YEL_109_01",38.3804501559909,21.6320834517235,55.1068266852004
15,"YEL",16.1628472222222,0.5,100,55.1801801801802,0.666666666666667,3.5036416,18.1296501,"YEL_109_05",50.6539140296002,36.6744726559289,64.4384432379876
30,"YEL",18.2315046296296,0.416666666666667,43.9024390243902,31.314072693383,0.625,9.5545874,4.1289063,"YEL_110_02",42.372758171743,28.7573587826977,56.2050967376805
10,"YEL",18.1644212962963,0.166666666666667,66.6666666666667,43.0794430794431,1.29166666666667,2.5879533,80.3038635,"YEL_108_02",39.8217411586197,21.8512251139482,58.031493903216
35,"YEL",18.2474768518519,0.625,50,0.450450450450447,0.916666666666667,0.1356358,0.0009706,"YEL_109_01",25.4460610740245,10.5301761548495,40.7068301866795
0,"YEL",21.7840740740741,0.833333333333333,50,58.3333333333333,1.91666666666667,19.797514,8.2976236,"YEL_108_01",7.21290233550517,-12.1568386159832,26.7937531067006
10,"YEL",19.6090740740741,0.75,82.9787234042553,14.1891891891892,0.916666666666667,9.4177494,0.3145927,"YEL_109_05",18.6568891945839,3.63395256175676,33.6101875082722
45,"YEL",17.7875462962963,0.625,62.5,4.95495495495496,0.0833333333333333,9.52946,4.64e-05,"YEL_109_01",40.9790813156545,26.0850228573293,55.7335550449697
