"newID","AvgSlope","Area_km2","EFac_Cat","Cross_Cat"
"UPI_13",5.54239203048,4.63959336,0,0.862144522079409
"UPI_35",12.8135275688,14.879349512,0,1.00810858619207
"UPI_157",19.832467094,29.218528036,0,0.547597742784526
"UPI_57",23.7733088742,1.224323864,0,1.63355469807293
"UPI_22",7.11785125266,7.844305272,0.1274810152493,1.52977218299161
"UPI_163",14.3105837229,11.217447324,0.0891468416223784,1.06976209946854
"UPI_70",9.5919356101,10.673931624,0,0.562117147772353
"UPI_14",10.8806484494,9.50336206,0.105225918331475,0.841807346651802
"UPI_57b",25.36550517,18.284983052,0.0546896870046932,0.656276244056319
"UPI_61",5.84534614207,7.477900036,0,0
"UPI_41",18.7532503415,18.519431436,0,1.29593611353242
"UPI_14b",12.617586921,10.797526696,0,0.185227604090195
"UPI_38",6.69710150178,13.883262424,0,0.864350152976695
"UPI_109",11.5302965496,1.424847312,0,2.80731834654295
"UPI_18",17.0303139648,19.49568916,0.0512933906461607,0.615520687753928
"UPI_118",19.4654993456,50.887961452,0.0393020263129718,1.41487294726699
"UPI_153",0.351385945649,0.068248052,0,0
"UPI_10",21.3855509343,18.142992064,0.0551177003480169,1.04723630661232
"UPI_201",9.95163970774,3.709683788,0,0.53912950922382
"UPI_202",11.1202273327,4.044792076,0,0.741694490997613
"UPI_86",4.0487992423,3.471173968,0,0.864260917965031
"UPI_170",0.639089772191,1.434961084,0,0
"UPI_130",23.4727578096,7.57457814,0,0.660102768442759
"UPI_26",21.547122953,21.017851664,0.142735806111834,0.999150642782841
"UPI_93",22.4678611417,2.635234876,0,0
"UPI_78b",12.6809169038,2.660320216,0,0
"UPI_149",9.96626378294,18.845939036,0.0530618292932909,0.318370975759746
"YEL_103",5.6315063431,5.22730704,0,0
"UPI_78",7.61053849202,14.742534864,0.0678309401486927,0.203492820446078
"UPI_34",5.62476876498,5.648740752,0.177030606272015,0.354061212544031
"UPI_12",8.04167625908,3.834314128,0.260802836339756,0.78240850901927
"UPI_25",27.9246710899,15.6922738,0.127451255661879,1.01961004529503
"UPI_154",12.0519042601,12.01946148,0,0.748785626958056
"UPI_75",25.1875048662,3.316281948,0,0.603085030573522
"UPI_23",10.4114041884,9.228060408,0,1.08365133710338
"UPI_73",20.2811460797,14.031385384,0,0.0712688000958409
"UPI_156",7.80014460819,1.982060404,0,0
"UPI_117",10.3501272153,9.91826562,0,0.201648158723138
"YEL_39",1.69511532678,0.333595204,0,0
"UPI_85",19.5448791998,11.576924228,0,0.172757457906029
"UPI_135",25.8868853131,4.845770964,0.206365510757557,0.825462043030229
"UPI_1",25.2907742497,9.131382304,0,0.547562223718281
"YEL_125",12.3186166229,7.060846304,0,0.84975649400568
"YEL_29",18.3339773428,3.802778272,0,0.788896902585437
"UPI_28",11.8555841377,24.211414536,0.123908497603033,0.702148153083855
"UPI_8",15.0359880027,30.08369354,0.166202996096602,0.631571385167089
"YEL_154",18.8523413434,21.284791536,0.0469819024681849,0.563782829618219
"UPI_11",7.23810199284,1.81012628,0,1.10489528940489
"YEL_178",18.0418132604,12.6362423,0.0791374505378074,0.0791374505378074
"YEL_201",10.7279684719,8.58117718,0,0.815738896093974
"YEL_82",10.24844092,5.562494964,0.179775443658271,0
"YEL_150",8.03760796122,2.8728687,0,0
"YEL_77",24.3102591912,7.767934348,0.12873435268637,1.41607787955007
"UPI_84",1.16846509682,2.322902484,0.43049590195367,0.43049590195367
"YEL_54",12.1116129696,20.031878348,0.0998408619129659,1.84705594538987
"UPI_151",9.02299262255,4.975099828,0,1.2060059511232
"YEL_118b",15.6983163621,4.19562266,0,0.238343645517445
"YEL_118",5.79038539262,8.0014271,0.124977705539553,0.624888527697765
"YEL_203",16.3369036187,28.403612848,0.035206788845892,1.33785797614389
"UPI_36",10.3937556548,5.1026767,0,0.391951149873948
"YEL_106",16.565443184,4.264029984,0,1.40711956119303
"UPI_32",14.0172374594,3.997966108,0.25012718291908,0.750381548757241
"YEL_119",26.985357329,22.992346648,0,0.652390999041622
"YEL_58",15.5665916927,36.2104892,0,0.11046522950593
"UPI_123",17.9088663845,34.785164072,0.086243663930705,0.574957759538033
"UPI_27",14.6349844666,16.175584684,0,0.247286269902601
"UPI_32b",8.42197616864,5.340151252,0.187260613568853,1.12356368141312
"YEL_105",6.55195682349,5.877296072,0,0.510438807786507
"YEL_190",8.62585830401,4.540287268,0,0.881001523448097
"UPI_16",6.73808229185,3.284268276,0,0.608963650934099
"UPI_48",12.9109852734,5.49050402,0,0.546397924320252
"YEL_109",7.81108735729,1.514198904,0,0.660415218475155
"UPI_108",8.66036962451,10.44505776,0,0.382956235562263
"UPI_128",5.71026843925,5.43993516,0.183825720452153,0
"YEL_50",23.6511452939,5.70910484,0,0.350317616517969
"YEL_42",18.7732680379,8.860142088,0.112865007137344,0.677190042824063
"YEL_157",11.3519794056,2.808920992,0,0.356008589365122
"UPI_96",7.93174760511,20.391275616,0.098081161652815,0.882730454875335
"YEL_193",13.6082635563,59.350640264,0.0168490178968897,0.235886250556456
"UPI_112",21.069059305,8.879891816,0,0.337841953726793
"YEL_89",7.22395286188,2.039000144,0,0.980872907677441
"YEL_173",2.63331111469,5.123939512,0,0
"YEL_41",4.91803224031,7.170186532,0.13946638564242,0.13946638564242
"YEL_21",0.913514400826,1.8754278,0.533211675757393,0
"YEL_204",0.918692766573,0.464038972,0,0
"YEL_202",43.4942543972,1.244949588,0,0.803245376068995
"YEL_85",14.0928601477,10.6194606,0.094166741387976,0.376666965551904
"YEL_53",4.82215312629,1.514119268,0,0
