model,npar,Neg2LnL,AICc,DeltaAICc,weight
p(~mFlow)Psi(~avgT + mFlow + HAiFLS_for + boulder + med_len + BRT_100m),9,124.53551,143.94176,0,0.67217418
p(~pctcbbl + mFlow)Psi(~avgT + mFlow + HAiFLS_for + boulder + med_len + BRT_100m),10,124.52337,146.2556535,2.313893465,0.211361676
p(~1)Psi(~avgT + mFlow + HAiFLS_for + boulder + med_len + BRT_100m),8,131.22563,148.3419091,4.40014907,0.074473471
p(~pctcbbl)Psi(~avgT + mFlow + HAiFLS_for + boulder + med_len + BRT_100m),9,130.08165,149.4879,5.54614,0.041990672
